Chuyên đề,Bí kíp,Nội dung,Dùng khi
Hình học tọa độ,Thay lại để kiểm tra,"Mọi kết quả trong hình tọa độ đều kiểm tra được bằng cách thay số. Viết xong phương trình thì thay điểm đã cho; tìm xong giao điểm thì thay vào cả hai phương trình. Đây là chuyên đề duy nhất mà bạn có thể tự chấm bài của mình trong 10 giây.",Trước khi tô đáp án cho mọi câu tọa độ.
Hình học tọa độ,Vẽ phác trên trục,"Với bài phẳng, một hình phác thô trên giấy nháp cho biết ngay đáp án nằm ở góc phần tư nào, dấu ra sao. Nó không giải bài hộ bạn nhưng loại được phương án sai dấu.",Bài tọa độ phẳng có yếu tố vị trí.
"Đạo hàm, tích phân & khảo sát hàm số",Bảng biến thiên trả lời được nhiều câu hơn bạn nghĩ,"Số nghiệm phương trình f(x) = m, số điểm cực trị, khoảng đơn điệu, giá trị lớn nhất — tất cả đều đọc được từ MỘT bảng biến thiên. Nếu đề cho sẵn bảng, đừng đi tìm công thức hàm số.",Đề cho bảng biến thiên hoặc đồ thị thay vì công thức.
"Đạo hàm, tích phân & khảo sát hàm số",Số nghiệm là số giao điểm,"Câu hỏi ""phương trình f(x) = m có bao nhiêu nghiệm"" chính là ""đường thẳng nằm ngang y = m cắt đồ thị ở mấy điểm"". Chuyển câu hỏi đại số thành câu hỏi hình học rồi đọc từ bảng biến thiên là xong.",Mọi câu biện luận số nghiệm theo tham số.
"Đạo hàm, tích phân & khảo sát hàm số",Kiểm tra bằng một điểm,"Sau khi lập bảng xét dấu y′, thay một giá trị cụ thể ở mỗi khoảng vào y′ để xác nhận dấu. Mất 15 giây và loại bỏ toàn bộ rủi ro sai dấu — nguồn lỗi lớn nhất của chuyên đề này.",Mọi lần lập bảng xét dấu.
Mũ & logarit,"Điều kiện viết trước, luôn luôn","Trong chuyên đề mũ – logarit, điều kiện xác định không phải bước phụ mà là một nửa lời giải. Thói quen: dòng đầu tiên của mọi bài log là dòng điều kiện, trước cả khi đọc kỹ vế phải.",Mọi câu có dấu log hoặc căn bậc chẵn.
Mũ & logarit,Cơ số nhỏ hơn 1 là bẫy có chủ ý,"Khi thấy cơ số 0,5 hay 1/3, hãy dừng lại. Đề dùng cơ số đó chính vì muốn bắt lỗi không đảo chiều. Không có lý do nào khác để chọn một cơ số xấu như vậy.",Bất phương trình mũ hoặc logarit có cơ số giữa 0 và 1.
Mũ & logarit,Ba công thức đủ cho phần lớn đề,"log(ab) = log a + log b; log(a/b) = log a − log b; log aⁿ = n·log a. Cộng thêm công thức đổi cơ số log_a b = log b / log a là đủ cho gần như mọi câu trong đề HSA.",Khi gặp biểu thức log rối và không biết bắt đầu từ đâu.
Tổ hợp & xác suất,Đếm thử với số nhỏ,"Khi phân vân giữa hai công thức, hãy thay bài toán bằng phiên bản nhỏ (chọn 2 trong 3) rồi liệt kê tay. Kết quả liệt kê sẽ cho biết công thức nào đúng. Mất 30 giây và chắc chắn hơn mọi lập luận.",Không chắc thứ tự có quan trọng hay không.
Tổ hợp & xác suất,Ràng buộc xử lý trước,"Nếu đề nói ""chữ số đầu khác 0"" hay ""nam đứng đầu hàng"", hãy đặt phần tử bị ràng buộc vào chỗ của nó TRƯỚC rồi mới đếm phần còn lại tự do. Đếm hết rồi trừ đi luôn dài hơn và dễ sót.",Bài đếm có điều kiện về vị trí hoặc thành phần.
Tổ hợp & xác suất,"Cẩn thận với ""hoặc""","Trong tiếng Việt, ""hoặc"" thường là hoặc bao hàm (có thể cả hai). Đếm A + B mà quên trừ phần chung là lỗi cổ điển. Luôn hỏi: hai trường hợp này có giao nhau không?","Đề mô tả biến cố bằng từ ""hoặc""."
Thống kê & xử lý số liệu,Số liệu tuyệt đối và tương đối là hai câu chuyện,"Một ngành có thể tăng giá trị mà vẫn giảm tỉ trọng, nếu các ngành khác tăng nhanh hơn. Đây là dấu hiệu của công nghiệp hóa chứ không phải suy thoái. Đề thi hỏi câu này rất nhiều vì nó phân loại rất tốt.",Mọi câu có cả bảng giá trị và bảng cơ cấu.
Thống kê & xử lý số liệu,Đọc câu hỏi trước khi đọc bảng,"Bảng số liệu trong đề thường thừa dữ liệu có chủ ý. Đọc câu hỏi trước rồi mới quay lại bảng, bạn chỉ cần nhặt đúng hai hoặc ba ô — thay vì cố hiểu cả bảng.",Đề có bảng số liệu lớn.
Thống kê & xử lý số liệu,Ước lượng trước khi bấm máy,"Trước khi tính chính xác, hãy làm tròn thô và ước lượng. Nếu kết quả chính xác lệch xa ước lượng, gần như chắc chắn bạn đã đọc nhầm một ô hoặc sai đơn vị.",Mọi phép tính trên bảng số liệu.
Đọc hiểu văn bản,"Đọc câu hỏi trước, đọc bài sau","Với văn bản dài, hãy lướt qua các câu hỏi trước. Bạn sẽ đọc bài với một mục đích cụ thể thay vì cố nhớ mọi thứ, và tiết kiệm được một lượt đọc lại.",Chùm câu hỏi dùng chung một ngữ liệu dài.
Đọc hiểu văn bản,"Đáp án nằm trong bài, không nằm trong đầu bạn","Mọi phương án đúng của đọc hiểu đều có gốc ở một câu cụ thể trong văn bản. Nếu không chỉ được ra câu đó, bạn đang đoán chứ không đang trả lời.",Trước khi tô mọi câu đọc hiểu.
Đọc hiểu văn bản,Từ nối là bản đồ,"""Nhưng"", ""tuy nhiên"", ""vì vậy"", ""trái lại"" cho biết mạch lập luận rẽ ở đâu. Câu đứng sau chữ ""nhưng"" gần như luôn quan trọng hơn câu đứng trước nó.",Khi cần tìm nhanh luận điểm chính trong đoạn.
"Tác giả, tác phẩm & giai đoạn văn học","Học theo cụm, không học theo bài","Nhóm tác phẩm theo giai đoạn và đề tài. Khi gặp một đoạn trích lạ, bạn chỉ cần định vị nó vào cụm — thay vì phải thuộc lòng từng bài. Cách này bền hơn nhiều dưới áp lực phòng thi.",Khi ôn tập cả chuyên đề văn học.
"Tác giả, tác phẩm & giai đoạn văn học",Thuộc vài câu then chốt,"Mỗi tác phẩm chỉ cần thuộc hai đến ba câu tiêu biểu. Chúng vừa là dấu nhận diện tác phẩm, vừa là dẫn chứng dùng được cho nhiều câu hỏi khác nhau.","Ôn tập trước kỳ thi, khi thời gian còn hạn chế."
"Tác giả, tác phẩm & giai đoạn văn học","Đề hỏi tác dụng, không hỏi tên gọi","Rất nhiều thí sinh gọi đúng tên biện pháp rồi dừng lại, và mất điểm. Phần đáng giá luôn là câu trả lời cho ""để làm gì"".",Mọi câu hỏi về biện pháp nghệ thuật.
Ngữ pháp & lỗi sai trong câu,Rút gọn câu về nòng cốt,"Khi câu dài và rối, hãy xóa hết thành phần phụ để chỉ còn chủ ngữ và vị ngữ. Lỗi cấu trúc lộ ra ngay khi câu trơ khung.",Câu dài hơn hai dòng và không rõ sai ở đâu.
Ngữ pháp & lỗi sai trong câu,Đọc to trong đầu,"Tai của người bản ngữ bắt lỗi ngữ pháp nhanh hơn mắt rất nhiều. Đọc thầm nhưng có nhịp, chỗ nào vấp là chỗ đó cần xem lại.",Câu hỏi phát hiện lỗi sai.
Ngữ pháp & lỗi sai trong câu,Sửa ít nhất có thể,Phương án đúng thường là phương án sửa tối thiểu mà vẫn hết lỗi. Phương án viết lại cả câu thường thay đổi ý gốc — và đó là dấu hiệu nó sai.,Câu hỏi chọn cách sửa lỗi.
Từ vựng & nghĩa của từ,"Che từ, tự điền","Kỹ thuật mạnh nhất của toàn chuyên đề từ vựng: che từ được hỏi, tự nghĩ một từ thay thế, rồi mới nhìn phương án. Nó ngăn bốn phương án dẫn dắt suy nghĩ của bạn.",Mọi câu hỏi nghĩa của từ trong ngữ cảnh.
Từ vựng & nghĩa của từ,Sắc thái quan trọng hơn định nghĩa,"Trong tiếng Việt, hai từ cùng nghĩa từ điển vẫn có thể không thay thế nhau được. ""Hi sinh"" và ""chết"" cùng chỉ một sự việc nhưng không dùng lẫn. Câu hỏi từ vựng của đề HSA phân loại chính ở chỗ này.",Phân vân giữa hai phương án đều đúng nghĩa.
Từ vựng & nghĩa của từ,"Đọc để tích lũy, không học thuộc danh sách",Vốn từ không xây bằng cách học thuộc bảng đồng nghĩa. Nó xây bằng việc đọc văn bản đủ dài và đủ khó. Mỗi ngày một bài đọc tử tế bền hơn một tuần học vẹt.,Khi lập kế hoạch ôn dài hạn cho phần Ngôn ngữ.
Biện pháp tu từ & phong cách,Hình ảnh lạ là dấu hiệu,"Chỗ nào ngôn ngữ đi chệch khỏi cách nói thông thường, chỗ đó có biện pháp tu từ. Đọc câu và tìm chỗ ""lệch"" là cách nhanh nhất định vị biện pháp.",Câu hỏi yêu cầu tìm biện pháp mà không chỉ rõ ở đâu.
Biện pháp tu từ & phong cách,Ba tầng tác dụng,"Cụ thể hóa — nhấn mạnh — gợi cảm xúc. Ba tầng này là khung trả lời cho mọi câu hỏi về tác dụng, và dùng được cho mọi biện pháp. Thuộc khung thì không bao giờ bí.",Mọi câu hỏi về hiệu quả nghệ thuật.
Biện pháp tu từ & phong cách,Đừng gọi tên rồi dừng,"Gọi đúng tên biện pháp chỉ là điều kiện cần. Phần điểm nằm ở câu trả lời cho ""để làm gì"" — và đó cũng là phần phân loại thí sinh.","Mọi câu hỏi về biện pháp tu từ, kể cả khi đề chỉ hỏi ngắn gọn là biện pháp gì."
Suy luận ngôn ngữ & liên kết ý,"Vẽ ra giấy, đừng giữ trong đầu",Trí nhớ làm việc chỉ giữ được khoảng bốn thông tin cùng lúc. Bài logic thường có sáu đến tám ràng buộc. Vẽ bảng không phải là chậm — nó là điều kiện để làm đúng.,Mọi bài sắp xếp có từ bốn ràng buộc trở lên.
Suy luận ngôn ngữ & liên kết ý,Phản ví dụ mạnh hơn lập luận,"Để bác bỏ một suy luận, không cần giải thích dài — chỉ cần một tình huống cụ thể trong đó tiền đề đúng mà kết luận sai. Một phản ví dụ kết thúc mọi tranh cãi.","Câu hỏi ""suy luận nào sau đây không hợp lệ""."
Suy luận ngôn ngữ & liên kết ý,"Cẩn thận với ""một số""","Trong logic, ""một số"" nghĩa là ""ít nhất một"", và nó KHÔNG loại trừ ""tất cả"". ""Một số học sinh giỏi toán"" vẫn đúng khi tất cả đều giỏi toán. Đề khai thác chỗ này rất nhiều.","Suy luận có lượng từ ""một số"", ""có những""."
Cơ học,Đơn vị SI trước mọi phép tính,"Đổi hết về mét, kilôgam, giây trước khi thay số. Phần lớn lỗi sai một bậc mười trong đề vật lý là lỗi đơn vị, không phải lỗi công thức.","Ngay sau khi đọc xong đề, trước khi chọn công thức."
Cơ học,Kiểm tra thứ nguyên,"Sau khi ra kết quả, kiểm tra đơn vị của biểu thức có khớp với đại lượng cần tìm không. Một công thức sai gần như luôn cho ra đơn vị sai — đây là bộ lọc rẻ nhất.",Trước khi tô đáp án cho mọi câu tính toán.
Cơ học,Hình vẽ lực là một nửa lời giải,"Vẽ đủ và đúng lực tác dụng lên vật thì phương trình gần như tự viết ra. Ngược lại, thiếu một lực thì mọi biến đổi sau đều sai mà không có cách nào phát hiện.",Mọi bài động lực học.
Dao động & sóng,Vẽ vòng tròn lượng giác,Mọi bài dao động điều hòa đều là một chuyển động tròn đều chiếu xuống trục. Vẽ vòng tròn và đánh dấu vị trí là cách nhanh nhất trả lời câu hỏi về thời gian và pha.,Câu hỏi về thời gian ngắn nhất đi từ vị trí này tới vị trí kia.
Dao động & sóng,Lập tỉ số thay vì tính số,"Rất nhiều câu chỉ hỏi ""gấp mấy lần"". Lập tỉ số hai biểu thức làm mọi hằng số triệt tiêu, và bạn không cần biết giá trị k, m, hay g.",Đề hỏi quan hệ tỉ lệ chứ không hỏi giá trị.
Dao động & sóng,Nhớ ba mốc đặc biệt,"x = 0 (động năng cực đại), x = A (thế năng cực đại), x = A/√2 (hai năng lượng bằng nhau). Ba mốc này trả lời phần lớn câu hỏi năng lượng mà không cần tính.",Câu hỏi năng lượng ở các vị trí đặc biệt.
Điện & từ,Vẽ lại mạch cho gọn,"Sơ đồ trong đề thường vẽ rối để giấu cấu trúc. Vẽ lại theo cách của mình, kéo các điểm cùng điện thế về một chỗ, thì nối tiếp và song song lộ ra ngay.",Mạch có nhiều hơn ba điện trở.
Điện & từ,Kiểm tra bằng độ lớn,"Điện trở tương đương của mạch song song phải nhỏ hơn điện trở nhỏ nhất; của mạch nối tiếp phải lớn hơn điện trở lớn nhất. Hai phép kiểm tra này bắt được gần như mọi lỗi rút gọn.",Sau mỗi bước rút gọn mạch.
Điện & từ,"Đọc kỹ ""định mức""",Mọi con số ghi trên thiết bị điện đều là giá trị định mức. Chúng chỉ đúng khi thiết bị hoạt động đúng điều kiện định mức. Đề khai thác chỗ này liên tục.,Bài có thiết bị ghi thông số.
Lượng tử & hạt nhân,Nhớ hai hằng số,"h = 6,625·10⁻³⁴ J·s và c = 3·10⁸ m/s. Tích hc ≈ 1,9875·10⁻²⁵ J·m, hay khoảng 1,24 eV·μm. Con số 1,24 tiết kiệm rất nhiều thời gian đổi đơn vị.",Mọi bài tính năng lượng photon.
Lượng tử & hạt nhân,Bảo toàn A và Z là chìa khóa,Mọi câu về phản ứng hạt nhân đều giải được bằng hai phương trình bảo toàn. Không cần nhớ loại phản ứng — chỉ cần cân bằng hai con số.,Câu hỏi xác định hạt còn thiếu trong phản ứng.
Lượng tử & hạt nhân,Cường độ và tần số là hai chuyện,"Đây là ranh giới giữa vật lý cổ điển và vật lý lượng tử, và đề luôn hỏi. Cường độ quyết định SỐ photon; tần số quyết định NĂNG LƯỢNG mỗi photon.",Mọi câu về hiện tượng quang điện.
Hóa đại cương,Ba định luật bảo toàn thay được cả trang tính,"Bảo toàn khối lượng, bảo toàn nguyên tố, bảo toàn electron. Rất nhiều bài hóa dài giải trong ba dòng nếu chọn đúng định luật, thay vì viết ra toàn bộ chuỗi phản ứng.",Bài có nhiều phản ứng nối tiếp mà chỉ hỏi lượng đầu và cuối.
Hóa đại cương,Đổi ra mol ngay dòng đầu,"Mọi dữ kiện — gam, lít, nồng độ — đều đổi ra mol trước khi làm bất cứ việc gì. Đây là thói quen ngăn được phần lớn lỗi của toàn phần Hóa.",Ngay sau khi đọc đề.
Hóa đại cương,"Kiểm tra chất hết trước, luôn luôn","Nếu đề cho lượng của hai chất tham gia, gần như chắc chắn có một chất dư. Bỏ qua bước so sánh này là lỗi mất điểm phổ biến nhất trong phần Hóa.",Đề cho số liệu của từ hai chất tham gia trở lên.
Hóa vô cơ,Dãy hoạt động là xương sống,K Na Ca Mg Al Zn Fe Ni Sn Pb H Cu Hg Ag Pt Au. Thuộc dãy này giải được phần lớn câu hóa vô cơ mà không cần nhớ từng phản ứng riêng lẻ.,Mọi câu về kim loại.
Hóa vô cơ,Ba điều kiện của phản ứng trao đổi,"Kết tủa, chất khí, chất điện li yếu. Không có một trong ba thì không có phản ứng. Quy tắc này loại được rất nhiều phương án chỉ bằng một cái nhìn.",Câu hỏi hai dung dịch có phản ứng với nhau không.
Hóa vô cơ,Đặc và loãng là hai chất khác nhau,"HNO₃ loãng và HNO₃ đặc cho sản phẩm khử khác nhau; H₂SO₄ loãng và đặc nóng cũng vậy. Đề luôn ghi rõ, và nếu bạn bỏ qua chữ đó thì cả bài sai.",Bài có axit HNO₃ hoặc H₂SO₄.
Hóa hữu cơ,Nhóm chức là tất cả,"Đừng học thuộc tính chất của từng chất hữu cơ. Học tính chất của từng NHÓM CHỨC, rồi mọi chất mang nhóm đó đều suy ra được. Số nhóm chức trong chương trình chỉ khoảng bảy.",Khi ôn tập cả chuyên đề hữu cơ.
Hóa hữu cơ,Bảo toàn khối lượng cứu bài dài,"Bài hữu cơ nhiều bước thường không cần biết cấu tạo cụ thể. Bảo toàn khối lượng giữa đầu và cuối cho ra đáp án trong hai dòng, trong khi đi theo từng phản ứng mất cả trang.",Bài cho tổng khối lượng và hỏi tổng khối lượng.
Hóa hữu cơ,Đếm độ bất bão hòa,"k = (2C + 2 + N − H)/2 cho biết phân tử có bao nhiêu liên kết pi và vòng. Với k = 0 là ankan no; k = 1 có một liên kết đôi hoặc một vòng; k = 4 thường là vòng benzen. Con số này định hướng cấu tạo rất nhanh.",Bài xác định công thức cấu tạo từ công thức phân tử.
Lịch sử Việt Nam,Học theo chùm nhân quả,"Đừng học từng mốc rời. Học theo chuỗi: bối cảnh → sự kiện → kết quả → hệ quả tiếp theo. Chuỗi này vừa dễ nhớ hơn, vừa trả lời được câu hỏi nguyên nhân và ý nghĩa — hai dạng chiếm phần lớn đề.",Ôn tập cả một giai đoạn lịch sử.
Lịch sử Việt Nam,Đọc kỹ từ định lượng trong câu hỏi,"""Quan trọng nhất"", ""chủ yếu"", ""trực tiếp"", ""sâu xa"", ""quyết định"" — mỗi từ này chọn ra một phương án khác nhau trong cùng bốn lựa chọn. Đề dùng chúng có chủ ý.",Mọi câu hỏi lịch sử có tính từ so sánh nhất.
Lịch sử Việt Nam,Bốn phương án đều đúng là dấu hiệu,"Khi cả bốn phương án đều là sự thật lịch sử, câu hỏi không hỏi đúng sai mà hỏi MỨC ĐỘ hoặc PHẠM VI. Quay lại đọc kỹ từ khóa của câu hỏi.",Không loại được phương án nào bằng kiến thức sự kiện.
Lịch sử thế giới,Nối lịch sử thế giới với lịch sử Việt Nam,"Đề HSA rất hay hỏi tác động của một sự kiện thế giới tới Việt Nam. Học hai mảng này song song, luôn hỏi ""lúc đó ở Việt Nam đang xảy ra gì"", sẽ trả lời được cả một nhóm câu khó.",Ôn tập lịch sử thế giới hiện đại.
Lịch sử thế giới,Loại phương án cực đoan,"Trong lịch sử, các nhận định tuyệt đối gần như luôn sai. ""Hoàn toàn"", ""duy nhất"", ""không bao giờ"", ""tất cả"" là dấu hiệu của phương án nhiễu.","Câu hỏi đánh giá, nhận định."
Lịch sử thế giới,Mốc lớn làm neo,"1789, 1917, 1945, 1947, 1991. Năm mốc này chia lịch sử thế giới cận hiện đại thành các giai đoạn rõ ràng. Thuộc chắc chúng thì mọi sự kiện khác đều định vị được.",Câu hỏi sắp xếp thời gian.
Địa lý tự nhiên,Ba nhân tố quyết định tất cả,"Vĩ độ, biển, và địa hình. Gần như mọi câu hỏi giải thích trong địa lý tự nhiên Việt Nam đều truy về một hoặc hai trong ba nhân tố này. Nắm chuỗi nhân quả từ ba nhân tố ấy là đủ.","Mọi câu hỏi ""vì sao"" trong địa lý tự nhiên."
Địa lý tự nhiên,Sườn đón gió và sườn khuất gió,"Cùng một khối khí cho hai kiểu thời tiết trái ngược ở hai sườn núi. Đây là cơ chế giải thích gió Lào, mưa Huế, và khô hạn Ninh Thuận — ba hiện tượng đề hỏi rất nhiều.",Câu hỏi về sự khác biệt khí hậu giữa hai vùng gần nhau.
Địa lý tự nhiên,Phân hóa Bắc–Nam khác phân hóa theo đai cao,"Bắc–Nam là do vĩ độ và gió mùa; đai cao là do độ cao địa hình. Hai loại phân hóa này bị trộn trong phương án nhiễu rất thường xuyên.",Câu hỏi về phân hóa thiên nhiên.
Địa lý kinh tế — xã hội,"Học theo vùng, không học theo ngành","Với mỗi vùng, nắm một đặc điểm tự nhiên nổi bật và một thế mạnh kinh tế đi kèm. Bảy cặp là đủ cho phần lớn câu hỏi, và bền hơn nhiều so với học danh sách ngành.",Ôn tập địa lý kinh tế – xã hội.
Địa lý kinh tế — xã hội,Tự nhiên hay kinh tế – xã hội,"Câu hỏi ""nhân tố quyết định nhất"" luôn phân biệt hai nhóm này. Công nghiệp chế biến và dịch vụ do nhân tố kinh tế – xã hội quyết định; nông nghiệp và khai khoáng do nhân tố tự nhiên.",Câu hỏi về nhân tố phát triển của một ngành.
Địa lý kinh tế — xã hội,"Đọc kỹ ""chủ yếu"" và ""quyết định""",Nhiều phương án đều là nhân tố có thật. Từ định lượng trong câu hỏi mới chọn ra đúng một phương án. Đây là chỗ phân loại của phần Địa lý.,Bốn phương án đều đúng về mặt sự kiện.
"Bảng số liệu, biểu đồ & Atlat",Thuộc bảng quy đổi biểu đồ,"Cơ cấu ≤3 năm → tròn. Cơ cấu ≥4 năm → miền. Tốc độ tăng trưởng → đường. So sánh quy mô → cột. Hai đơn vị → kết hợp. Năm dòng này làm đúng toàn bộ dạng câu chọn biểu đồ, không cần suy luận.",Mọi câu hỏi chọn dạng biểu đồ.
"Bảng số liệu, biểu đồ & Atlat",Đơn vị là nơi mất điểm,"Công thức của chuyên đề này rất đơn giản; điểm mất gần như hoàn toàn vì đơn vị. Viết rõ đơn vị ở mỗi bước và kiểm tra độ lớn kết quả trước khi tô.",Mọi câu tính toán trên bảng số liệu.
"Bảng số liệu, biểu đồ & Atlat","Đọc câu hỏi trước, đọc bảng sau","Bảng số liệu trong đề luôn thừa dữ liệu có chủ ý. Đọc câu hỏi trước rồi chỉ nhặt hai hoặc ba ô cần thiết, thay vì cố hiểu cả bảng.",Bảng có nhiều hơn ba dòng hoặc ba cột.
Grammar & Structure,Đọc cả câu trước khi nhìn phương án,Bốn phương án được thiết kế để nghe đều xuôi tai. Đọc trọn câu và tự nghĩ đáp án trước khi nhìn xuống là cách duy nhất không bị chúng dẫn dắt.,Mọi câu chọn đáp án điền vào chỗ trống.
Grammar & Structure,Dấu hiệu ngữ pháp luôn nằm ngoài chỗ trống,"Chỗ trống không tự nói nó cần gì. Thông tin nằm ở trạng ngữ thời gian, ở thì của mệnh đề kia, ở dấu phẩy, ở giới từ đứng trước. Tìm dấu hiệu trước, chọn sau.",Bí giữa hai phương án.
Grammar & Structure,Danh sách kiểm tra cố định cho câu tìm lỗi,"Hòa hợp chủ ngữ – động từ, thì, dạng từ, giới từ, song song. Chạy qua năm mục này theo thứ tự nhanh hơn nhiều so với đọc lại câu vài lần.",Dạng câu tìm lỗi sai.
Vocabulary & Collocation,"Học từ theo cụm, không theo từ đơn","Ghi ""make a decision"" chứ đừng ghi riêng ""decision"". Từ vựng tiếng Anh sống trong cụm, và đề kiểm tra chính cụm chứ không kiểm tra từ rời.",Khi xây vốn từ dài hạn.
Vocabulary & Collocation,Đuôi từ là bản đồ,"Nhận ra đuôi từ là biết loại từ, và biết loại từ là giải được toàn bộ dạng câu word form mà không cần biết nghĩa. Đây là nhóm câu dễ ăn điểm nhất trong phần tiếng Anh.",Bốn phương án là bốn dạng của cùng một gốc.
Vocabulary & Collocation,Đọc đề hai lần cho câu synonym,"Closest và opposite chỉ khác một từ trong đề, nhưng cho hai đáp án ngược nhau. Rất nhiều điểm mất ở đây không phải vì không biết từ.","Mọi câu hỏi về từ đồng nghĩa, trái nghĩa."
Reading Comprehension,Đọc câu hỏi trước khi đọc bài,"Với bài đọc dài, lướt câu hỏi trước rồi mới đọc. Bạn sẽ đọc có mục đích và không phải đọc lại lần hai — tiết kiệm nhiều phút trong phòng thi.",Bài đọc dài hơn ba đoạn.
Reading Comprehension,Đáp án là bản diễn đạt lại,"Phương án đúng gần như không bao giờ trùng nguyên văn với bài. Ngược lại, phương án dùng lại nhiều từ của bài mà ghép khác ý là bẫy quen thuộc nhất.",Mọi câu hỏi chi tiết.
Reading Comprehension,Từ tuyệt đối là dấu hiệu sai,"always, never, all, none, only, must. Văn bản học thuật viết dè dặt, nên phương án khẳng định tuyệt đối thường vượt quá điều bài viết bảo đảm.","Câu hỏi suy luận, khi phân vân giữa hai phương án."
