Mã phiếu,Chuyên đề,Phần thi,Tỉ trọng trong phần,Số câu trong ngân hàng,Ý lõi phải hiểu,Công thức phải thuộc,Dạng bài & dấu hiệu đọc vị,Bẫy hay mắc,Chiến thuật thời gian,Tiêu chí ôn chắc
HD-VAN-LIT,"Tác giả, tác phẩm & giai đoạn văn học",Văn,18%,15,Nhớ theo cụm: tác giả — tác phẩm — thể loại — hoàn cảnh sáng tác — phong cách. Nhớ rời rạc thì rất dễ nhầm. | Phong cách tác giả là câu hỏi hay gặp nhất và cũng dễ ăn điểm nhất nếu đã hệ thống.,"Nguyễn Tuân: tài hoa, uyên bác, nhìn sự vật ở phương diện thẩm mĩ | Tố Hữu: trữ tình chính trị, giàu tính sử thi | Nam Cao: hiện thực sắc lạnh, đau đáu về nhân phẩm | Vũ Trọng Phụng: trào phúng, đả kích xã hội thành thị | Tô Hoài: am hiểu phong tục, ngôn ngữ đời sống","Tác giả — tác phẩm: Hỏi ai viết tác phẩm nào | Hoàn cảnh sáng tác: Hỏi tác phẩm viết trong giai đoạn nào, về ai | Thể loại và đặc trưng: Hỏi thể thơ, thể loại | Phong cách nghệ thuật: Đưa nhận định và hỏi đúng với ai","Nhầm ""Vợ nhặt"" (Kim Lân) với ""Vợ chồng A Phủ"" (Tô Hoài) → Nhớ theo bối cảnh: A Phủ ở Tây Bắc, Vợ nhặt ở nạn đói 1945 | Nhầm đề tài chống Pháp với chống Mĩ → Neo theo mốc: 1945–1954 chống Pháp, 1954–1975 chống Mĩ | Nhầm lục bát với song thất lục bát → Truyện Kiều là lục bát; Chinh phụ ngâm bản Nôm là song thất lục bát","30–45 giây. Đây là câu ăn điểm nếu đã học, và là câu nên bỏ nhanh nếu chưa — đừng đoán mò quá 60 giây.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-VAN-GRA,Ngữ pháp & lỗi sai trong câu,Văn,16%,15,"Xác định chủ ngữ và vị ngữ trước khi phán câu sai hay đúng. | Cụm bắt đầu bằng ""Qua"", ""Với"", ""Bằng"", ""Trong"" là trạng ngữ — nếu sau nó là vị ngữ luôn thì câu thiếu chủ ngữ. | Trạng ngữ chỉ phương tiện hoặc thái độ phải bổ nghĩa cho một chủ thể là người.","Câu đủ = (Trạng ngữ) + Chủ ngữ + Vị ngữ | Định ngữ: đứng sau danh từ, làm rõ danh từ (thường mở đầu bằng ""mà"", ""của"") | Bổ ngữ: đứng sau động từ hoặc tính từ","Câu thiếu chủ ngữ: Câu mở đầu bằng ""Qua..."", ""Thông qua..."" | Sai lô-gíc trạng ngữ — chủ ngữ: Trạng ngữ chỉ thái độ nhưng chủ ngữ là vật | Xác định thành phần câu: Hỏi bộ phận in đậm giữ vai trò gì",Thấy câu dài thì cho là sai → Dài không phải lỗi. Tìm đủ chủ — vị mới kết luận | Nhầm định ngữ với vị ngữ → Vị ngữ là phần nêu hoạt động/trạng thái chính của câu,"45 giây. Kỹ thuật nhanh: che phần trạng ngữ đi, đọc lại xem câu còn đứng được không.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-VAN-VOC,Từ vựng & nghĩa của từ,Văn,14%,15,"Từ Hán Việt phải hiểu theo nghĩa đã định hình trong sử dụng, không phải ghép nghĩa từng yếu tố. | Trường từ vựng: tìm ba từ cùng nhóm rồi loại từ còn lại — nhanh hơn phân tích từng từ. | Kết hợp từ có quy tắc riêng: ""góp phần"" đi với quá trình, ""góp mặt"" đi với sự kiện.",Quy trình chọn từ điền: xác định từ loại cần điền → xét kết hợp từ → xét sắc thái | Từ đồng nghĩa hiếm khi thay thế được nhau ở mọi ngữ cảnh — luôn thử đặt vào câu,"Từ khác nhóm nghĩa: Cho 4 từ, hỏi từ nào KHÔNG cùng nhóm | Nghĩa của từ Hán Việt: Hỏi nghĩa một từ hai âm tiết Hán Việt | Điền từ vào chỗ trống: Câu có dấu gạch, bốn phương án gần nghĩa","Suy nghĩa Hán Việt từ từng yếu tố → Nhớ nghĩa đã dùng phổ biến: ""khả quan"" = có triển vọng tốt | Chọn từ đúng nghĩa nhưng sai kết hợp → Đọc thành tiếng cả câu với từ đã chọn","30–45 giây. Nếu phân vân giữa hai phương án quá 60 giây, đánh dấu và quay lại sau.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-VAN-RHE,Biện pháp tu từ & phong cách,Văn,12%,15,"Ẩn dụ dựa trên nét TƯƠNG ĐỒNG; hoán dụ dựa trên quan hệ GẦN GŨI. Đây là ranh giới bị hỏi nhiều nhất. | Biện pháp tu từ luôn có tác dụng cụ thể — câu hỏi thường hỏi tác dụng chứ không chỉ hỏi tên.","Ẩn dụ: gọi A bằng tên B vì A và B giống nhau ở một nét | Hoán dụ: gọi A bằng tên B vì A và B gần nhau (bộ phận — toàn thể, vật chứa — vật bị chứa, cụ thể — trừu tượng) | Nói quá: phóng đại để nhấn mạnh; Nói giảm: giảm nhẹ để tránh thô hoặc đau | Điệp: lặp lại để nhấn mạnh và tạo nhịp",Nhận diện biện pháp: Cho câu thơ và hỏi dùng biện pháp gì | Phân tích tác dụng: Hỏi biện pháp đó có tác dụng gì,"Nhầm ẩn dụ với hoán dụ → Hỏi: hai vật GIỐNG nhau (ẩn dụ) hay GẦN nhau (hoán dụ)? | Nhầm so sánh với ẩn dụ → So sánh còn giữ cả hai vế và từ so sánh; ẩn dụ giấu một vế","30–45 giây. Câu nhận diện là câu ăn điểm; câu hỏi tác dụng cho phép tới 60 giây.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-VAN-LOG,Suy luận ngôn ngữ & liên kết ý,Văn,12%,15,"Sắp xếp câu thành đoạn: từ nối quyết định thứ tự, không phải nội dung. | Phép phản đảo: từ ""nếu P thì Q"" chỉ suy ra được ""nếu không Q thì không P"" — không suy ra được điều ngược lại. | Kết luận chắc chắn khác với kết luận có thể — đề luôn phân biệt hai mức này.","P → Q tương đương ¬Q → ¬P (phản đảo, luôn đúng) | P → Q KHÔNG tương đương Q → P (đảo, không suy ra được) | Từ nối chỉ phản bác: nhưng, tuy nhiên, trái lại, ngược lại | Từ nối chỉ kết luận: vì vậy, do đó, như vậy, tóm lại",Sắp xếp câu thành đoạn: Cho các câu đánh số và hỏi thứ tự | Suy luận từ tiền đề: Cho hai mệnh đề và hỏi kết luận nào chắc chắn đúng,"Dùng mệnh đề đảo thay vì phản đảo → Viết ra P → Q rồi phủ định cả hai vế và đảo chiều | Chọn phương án ""không thể kết luận"" khi thực ra suy được → Thử phép phản đảo trước khi kết luận là không suy được","60–90 giây. Với câu sắp xếp, khoanh tròn các từ nối trước khi đọc nội dung.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-LY-MEC,Cơ học,Khoa học,30%,15,Rơi tự do không phụ thuộc khối lượng — chỉ phụ thuộc độ cao và g. | Động năng tỉ lệ với BÌNH PHƯƠNG vận tốc: vận tốc gấp đôi thì động năng gấp bốn. | Công chỉ được sinh ra theo phương của dịch chuyển.,"a = F/m (định luật II Newton) | h = ½gt² ⟹ t = √(2h/g); v = gt | W_đ = ½mv²; W_t = mgh | A = F·s·cosα","Rơi tự do: Thả không vận tốc đầu từ độ cao h | Định luật II Newton: Cho lực và khối lượng, hỏi gia tốc | Công và năng lượng: Cho lực, quãng đường hoặc vận tốc","Quên hệ số ½ trong h = ½gt² và trong động năng → Kiểm thứ nguyên hoặc thử một trường hợp đã biết | Nhân F với s khi lực không cùng phương dịch chuyển → Luôn viết cosα, kể cả khi α = 0","45–60 giây. Dạng thuần công thức, nên lấy trọn điểm.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-LY-OSC,Dao động & sóng,Khoa học,28%,15,"Tần số góc của con lắc lò xo chỉ phụ thuộc k và m, không phụ thuộc biên độ. | Bước sóng, tốc độ và tần số liên hệ nghịch: cùng tốc độ, tần số càng cao thì bước sóng càng ngắn. | Đối chiếu phương trình dao động với dạng chuẩn là bước đầu tiên của mọi bài.","x = A·cos(ωt + φ); T = 2π/ω; f = 1/T | Con lắc lò xo: ω = √(k/m) | Con lắc đơn: ω = √(g/ℓ) | λ = v/f = v·T","Đọc tham số từ phương trình: Cho x = A·cos(ωt + φ) | Tần số góc con lắc: Cho k và m, hoặc g và ℓ | Bước sóng: Cho tốc độ truyền và tần số","Nhân v với f thay vì chia → Kiểm đơn vị: m/s chia 1/s ra mét — đúng thứ nguyên bước sóng | Nhầm ω với f → ω tính bằng rad/s, f tính bằng Hz, ω = 2πf","45–60 giây. Viết ra ω, T, f cùng lúc ngay khi đọc đề — thường đề hỏi một trong ba.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-LY-ELE,Điện & từ,Khoa học,27%,15,"Nối tiếp: dòng điện như nhau, điện trở cộng. Song song: hiệu điện thế như nhau, nghịch đảo điện trở cộng. | Điện trở tương đương khi mắc song song LUÔN nhỏ hơn điện trở nhỏ nhất — dùng để kiểm tra nhanh.","I = U/R (định luật Ohm) | Nối tiếp: R = R₁ + R₂; song song: 1/R = 1/R₁ + 1/R₂ | Song song hai điện trở: R = R₁R₂/(R₁+R₂) | P = UI = I²R = U²/R",Mạch nối tiếp: Các điện trở mắc liên tiếp | Mạch song song: Các điện trở cùng nối vào hai điểm | Công suất tiêu thụ: Hỏi công suất hoặc nhiệt lượng,Cộng điện trở khi mắc song song → Kiểm bằng quy tắc: kết quả phải nhỏ hơn điện trở nhỏ nhất | Nhầm U toàn mạch với U trên một điện trở → Vẽ mạch và đánh dấu chỗ đo hiệu điện thế,45–60 giây. Vẽ lại mạch trong 10 giây đầu nếu đề mô tả bằng lời.,Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-LY-MOD,Lượng tử & hạt nhân,Khoa học,15%,15,"Số khối A đếm cả proton lẫn nơtron; Z là số proton. Số nơtron = A − Z. | Trong phản ứng hạt nhân, tổng số khối và tổng điện tích đều được bảo toàn.","Kí hiệu ᴬ_Z X: A = số khối, Z = số proton, N = A − Z | Bảo toàn: ΣA trước = ΣA sau; ΣZ trước = ΣZ sau | E = mc²; 1u ≈ 931,5 MeV/c²","Đọc cấu tạo hạt nhân: Cho kí hiệu hạt nhân, hỏi số hạt | Cân bằng phản ứng hạt nhân: Phương trình thiếu một hạt","Nhầm số nơtron với số proton → Z ở dưới là proton, hiệu A − Z mới là nơtron | Quên bảo toàn điện tích khi cân bằng → Cân cả hai chỉ số, không chỉ số khối","30–45 giây. Đây là nhóm câu ngắn, nên làm sớm để dành thời gian cho phần khó.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-HOA-GEN,Hóa đại cương,Khoa học,30%,15,"Số hiệu nguyên tử Z quyết định nguyên tố, và bằng số proton. | Mol là cầu nối giữa khối lượng và số hạt — hầu hết bài tính toán đều đi qua mol. | Axit mạnh phân li hoàn toàn, nên [H⁺] bằng đúng nồng độ axit.","n = m/M = V/22,4 (khí ở đktc) = C_M·V | pH = −log[H⁺]; pH + pOH = 14 | Số nơtron = A − Z","Tính theo mol: Cho khối lượng hoặc thể tích, hỏi đại lượng còn lại | Tính pH: Cho nồng độ axit hoặc bazơ mạnh | Cấu tạo nguyên tử: Cho Z hoặc A, hỏi số hạt","Dùng 22,4 L/mol cho chất không phải khí hoặc không ở đktc → Kiểm điều kiện trước khi dùng | Tính pH của axit yếu như axit mạnh → Axit yếu cần hằng số phân li, không phân li hoàn toàn",45 giây cho câu công thức thuần. Viết n ra trước mọi phép tính khác.,Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-HOA-INO,Hóa vô cơ,Khoa học,32%,15,"Chỉ kim loại đứng trước H trong dãy hoạt động mới đẩy được H₂ khỏi axit loãng. | Phản ứng trung hòa theo tỉ lệ mol H⁺ : OH⁻ = 1 : 1. | SO₂ và NOₓ gây mưa axit; CO₂ gây hiệu ứng nhà kính. Hai chuyện khác nhau.",Dãy hoạt động: K Na Ca Mg Al Zn Fe Ni Sn Pb (H) Cu Hg Ag Pt Au | n(H⁺) = n(OH⁻) tại điểm trung hòa | C_M = n/V ⟹ V = n/C_M,"Kim loại tác dụng axit: Hỏi kim loại nào phản ứng giải phóng H₂ | Chuẩn độ trung hòa: Cho thể tích và nồng độ một dung dịch, hỏi dung dịch kia | Hóa học môi trường: Hỏi khí gây mưa axit, hiệu ứng nhà kính","Cho rằng Cu tác dụng HCl loãng → Cu đứng sau H nên không đẩy được H₂ | Nhân thay vì chia cho nồng độ khi tìm thể tích → Kiểm đơn vị: mol chia mol/L ra L | Nhầm khí gây mưa axit với khí nhà kính → Mưa axit: SO₂, NOₓ. Nhà kính: CO₂, CH₄",45–60 giây. Câu lý thuyết nhận biết nên xong trong 30 giây.,Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-HOA-ORG,Hóa hữu cơ,Khoa học,38%,15,"Liên kết đôi C=C kém bền nên anken đặc trưng bởi phản ứng CỘNG; ankan no nên đặc trưng bởi phản ứng THẾ. | Bảo toàn nguyên tố cacbon là công cụ nhanh nhất cho bài đốt cháy. | Nhóm –CHO cho phản ứng tráng bạc với tỉ lệ 1 mol chất : 2 mol Ag.","Đốt cháy CₓH_y: mỗi mol chất cho x mol CO₂ và y/2 mol H₂O | Tráng bạc: 1 mol –CHO → 2 mol Ag | Etanol C₂H₅OH = C₂H₆O; axit axetic CH₃COOH = C₂H₄O₂","Phản ứng đặc trưng: Hỏi phản ứng đặc trưng của một loại hợp chất | Bài đốt cháy: Cho số mol chất hữu cơ, hỏi CO₂ hoặc H₂O | Phản ứng tráng bạc: Có glucozơ, anđehit hoặc nhóm –CHO","Dùng tỉ lệ 1:1 cho phản ứng tráng bạc → Mỗi nhóm –CHO cho 2 Ag | Nhầm công thức phân tử etanol với axit axetic → Đếm số O: etanol 1 O, axit axetic 2 O","60 giây cho câu lý thuyết, 90 giây cho bài tính. Dùng bảo toàn nguyên tố thay vì cân bằng đầy đủ phương trình.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-SU-VIE,Lịch sử Việt Nam,Khoa học,62%,15,Neo theo bốn mốc lớn: 1930 thành lập Đảng — 1945 Cách mạng tháng Tám — 1954 Điện Biên Phủ — 1975 thống nhất — 1986 Đổi mới. | Câu hỏi quan hệ nhân quả (sự kiện nào dẫn tới sự kiện nào) hay gặp hơn câu hỏi ngày tháng thuần túy.,"3/2/1930: thành lập Đảng Cộng sản Việt Nam | 19/8/1945: khởi nghĩa giành chính quyền ở Hà Nội; 2/9/1945: Tuyên ngôn Độc lập | 7/5/1954: chiến thắng Điện Biên Phủ → 21/7/1954: Hiệp định Genève | 1973: Hiệp định Paris; 30/4/1975: Chiến dịch Hồ Chí Minh toàn thắng | 12/1986: Đại hội VI đề ra đường lối Đổi mới","Mốc thời gian: Hỏi sự kiện diễn ra năm nào | Quan hệ nhân quả: Hỏi thắng lợi nào dẫn tới hiệp định nào | Thứ tự chiến dịch: Hỏi chiến dịch nào mở đầu, kết thúc","Nhầm Hiệp định Genève (chống Pháp) với Hiệp định Paris (chống Mĩ) → Genève 1954 sau Điện Biên Phủ; Paris 1973 sau Điện Biên Phủ trên không | Nhầm 1925 (Hội VNCM Thanh niên) với 1930 (thành lập Đảng) → 1925 là tổ chức tiền thân, không phải Đảng",30 giây. Đây là câu hoặc biết hoặc không — không nên nghĩ quá 45 giây.,Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-SU-WOR,Lịch sử thế giới,Khoa học,38%,15,Trật tự hai cực Ianta hình thành 1945 và tan rã hoàn toàn 1991 khi Liên Xô sụp đổ. | Xu thế toàn cầu hóa và hội nhập khu vực là chủ đề xuyên suốt phần hiện đại.,"1945: Liên hợp quốc thành lập (Hiến chương có hiệu lực 24/10/1945) | 8/8/1967: ASEAN thành lập tại Bangkok với 5 nước sáng lập | 1989: bức tường Berlin sụp đổ; 1991: Liên Xô tan rã | 7/1995: Việt Nam gia nhập ASEAN; 2007: gia nhập WTO","Tổ chức quốc tế: Hỏi năm thành lập, số thành viên sáng lập | Trật tự thế giới: Hỏi sự kiện đánh dấu kết thúc Chiến tranh lạnh | Hội nhập của Việt Nam: Hỏi năm Việt Nam gia nhập tổ chức nào","Nhầm 1919 (Hội Quốc liên) với 1945 (Liên hợp quốc) → Hội Quốc liên sau Thế chiến I; Liên hợp quốc sau Thế chiến II | Cho rằng 1989 là mốc trật tự hai cực tan rã → 1989 là bước ngoặt; 1991 mới là kết thúc hoàn toàn | Nhầm 1995 (ASEAN) với 2007 (WTO) → ASEAN là khu vực, WTO là toàn cầu — mốc sau cao hơn",30 giây. Ưu tiên làm trước các câu mốc thời gian để lấy điểm chắc.,Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-DIA-NAT,Địa lý tự nhiên,Khoa học,34%,15,"Vị trí nội chí tuyến + giáp Biển Đông + nằm trong khu vực gió mùa châu Á quy định tính chất nhiệt đới ẩm gió mùa. | Đồi núi chiếm khoảng 3/4 diện tích, nhưng chủ yếu là đồi núi thấp dưới 1000 m. | Gió mùa Đông Bắc suy yếu dần về phía nam, gần như bị chặn ở dãy Bạch Mã.","Đồi núi ≈ 3/4 diện tích; đồng bằng ≈ 1/4 | Địa hình thấp dần từ tây bắc xuống đông nam | Ranh giới khí hậu quan trọng: dãy Bạch Mã (khoảng vĩ tuyến 16°B)","Đặc điểm khí hậu: Hỏi tính chất cơ bản của khí hậu Việt Nam | Câu hỏi phủ định về địa hình: Có từ ""KHÔNG đúng"" | Ảnh hưởng gió mùa: Hỏi khu vực chịu ảnh hưởng gió mùa nào","Bỏ sót từ ""KHÔNG"" trong câu hỏi phủ định → Gạch chân từ phủ định ngay khi đọc đề | Nhầm tỉ lệ đồi núi 1/4 với 3/4 → Nhớ: Việt Nam là nước nhiều đồi núi",30–45 giây. Câu phủ định cần thêm 15 giây để đọc lại — vẫn rẻ hơn mất điểm.,Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-DIA-ECO,Địa lý kinh tế — xã hội,Khoa học,40%,15,"Mỗi vùng có một thế mạnh gắn với điều kiện tự nhiên: ĐBSCL — lúa, Tây Nguyên — cà phê, Đông Nam Bộ — cao su và công nghiệp. | Câu hỏi vùng kinh tế thường hỏi ""lớn nhất"", ""quan trọng nhất"" — nhớ theo cặp vùng — sản phẩm.","ĐBSCL: vựa lúa lớn nhất (diện tích và sản lượng) | Tây Nguyên: cà phê (đất badan, khí hậu cận xích đạo có mùa khô) | Đông Nam Bộ: cao su, công nghiệp, dầu khí | Trung du miền núi Bắc Bộ: chè, cây dược liệu, thủy điện",Vùng — sản phẩm chủ lực: Hỏi vùng nào dẫn đầu về sản phẩm gì | Điều kiện phát triển: Hỏi vì sao vùng đó phát triển ngành đó,"Nhầm cà phê (Tây Nguyên) với cao su (Đông Nam Bộ) → Neo theo đất: badan Tây Nguyên — cà phê; đất xám Đông Nam Bộ — cao su | Nhầm ĐBSCL với ĐBSH về sản lượng lúa → ĐBSCL lớn hơn nhiều cả về diện tích lẫn sản lượng",30 giây. Nhóm câu ăn điểm nếu đã hệ thống theo bảng vùng — sản phẩm.,Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-DIA-DAT,"Bảng số liệu, biểu đồ & Atlat",Khoa học,26%,15,"Từ khóa trong đề quyết định dạng biểu đồ, không phải cảm nhận về số liệu. | Số liệu khác đơn vị thì phải xử lí về dạng tương đối trước khi so sánh tốc độ tăng trưởng.","""Cơ cấu"" + 1 năm → biểu đồ tròn; + 2–3 năm → nhiều hình tròn; + ≥ 4 năm → biểu đồ miền | ""Tốc độ tăng trưởng"" → biểu đồ đường, năm gốc = 100% | ""So sánh quy mô"" → biểu đồ cột | ""Hai đại lượng khác đơn vị"" → biểu đồ kết hợp cột và đường | Tỉ trọng = thành phần / tổng × 100%","Chọn dạng biểu đồ: Hỏi biểu đồ nào thích hợp nhất | Tính tỉ trọng: Cho bảng số liệu, hỏi phần trăm của một thành phần | Nhận xét bảng số liệu: Hỏi nhận xét nào đúng/không đúng","Chọn biểu đồ miền cho tốc độ tăng trưởng → Miền dùng cho chuyển dịch cơ cấu; đường dùng cho tốc độ | So sánh trực tiếp số liệu khác đơn vị → Quy về chỉ số với năm gốc bằng 100%","45 giây cho câu nhận dạng biểu đồ, 90 giây cho câu tính toán trên bảng. Đọc kỹ tiêu đề bảng trước.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-ANH-GRA,Grammar & Structure,Khoa học,34%,15,"Xác định mốc thời gian trong câu trước khi chọn thì. | ""The number of + N số nhiều"" là chủ ngữ SỐ ÍT; ""A number of + N số nhiều"" mới là số nhiều. | Cụm phủ định đứng đầu câu (Not until, Never, Rarely) buộc phải đảo ngữ.","Điều kiện hỗn hợp: If + had + V3 (quá khứ), would + V (hiện tại) | Đảo ngữ loại 3: Had + S + V3 | Thể giả định sau insist/demand/suggest/recommend: S + V nguyên mẫu | whose dùng cho cả người và vật để chỉ sở hữu | that KHÔNG dùng trong mệnh đề quan hệ không xác định (có dấu phẩy)",Chọn thì phù hợp: Có trạng ngữ thời gian hoặc mệnh đề mốc | Mệnh đề quan hệ: Có chỗ trống trước danh từ hoặc sau dấu phẩy | Đảo ngữ: Câu bắt đầu bằng cụm phủ định | Tìm lỗi sai: Bốn phần được gạch chân,"Chia động từ số nhiều sau ""The number of"" → Nhớ cặp đối lập: The number → is; A number → are | Dùng ""which"" trước danh từ trần → Sở hữu thì dùng whose, hoặc ""of which the + N"" | Quên đảo ngữ sau cụm phủ định đầu câu → Thấy Not until / Never đầu câu là nghĩ ngay tới trợ động từ",30–40 giây mỗi câu. Câu tìm lỗi sai cho phép 60 giây.,Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-ANH-VOC,Vocabulary & Collocation,Khoa học,30%,15,"Collocation quan trọng hơn nghĩa đơn lẻ: nhiều từ đúng nghĩa nhưng sai kết hợp. | Từ loại quyết định trước, nghĩa quyết định sau: sau linking verb cần tính từ. | Cụm giới từ cố định phải học nguyên cụm, không suy luận.","be consistent WITH; on the grounds OF; reconcile A WITH B | Sau remain / become / seem / appear → tính từ | Hậu tố tính từ thường gặp: -ic, -ive, -ous, -ful, -al","Từ đồng nghĩa: Hỏi closest in meaning | Từ trái nghĩa: Hỏi OPPOSITE in meaning | Chọn collocation: Bốn phương án cùng nghĩa gần nhau | Dạng từ: Bốn phương án cùng gốc, khác hậu tố","Chọn từ đúng nghĩa nhưng sai kết hợp → Thử đọc cả cụm: ""consistent with"" nghe đúng, ""consistent to"" thì không | Chọn danh từ ở vị trí cần tính từ → Xác định từ loại trước khi xét nghĩa",30 giây. Câu collocation nếu không chắc trong 45 giây thì đánh dấu và quay lại.,Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
HD-ANH-REA,Reading Comprehension,Khoa học,36%,15,"Đọc câu hỏi trước, rồi quét bài tìm vùng chứa đáp án — không đọc kỹ cả bài từ đầu. | Từ vựng trong ngữ cảnh: chọn nghĩa hợp với sắc thái của đoạn, không chọn nghĩa từ điển phổ biến nhất. | Câu hỏi thái độ tác giả thường nằm ở câu cuối hoặc ở các từ hạn định (may, might, however).","Main idea: ý phủ được cả bài, thường nằm ở đoạn 1 hoặc đoạn cuối | Detail: có từ khóa trùng với bài — quét từ khóa | Inference: không có sẵn trong bài, phải suy từ hai chi tiết trở lên | Attitude: dựa vào tính từ và từ hạn định",Main idea: What is the main idea / best title | Detail: According to the passage | Vocabulary in context: The word X is closest in meaning to | Inference: It can be inferred / The author suggests,"Chọn nghĩa từ điển phổ biến nhất thay vì nghĩa hợp ngữ cảnh → Thay từ đã chọn vào câu và đọc lại xem có hợp sắc thái không | Chọn ý đúng nhưng quá hẹp cho câu main idea → Ý chính phải phủ cả bài, không chỉ một đoạn | Chọn đáp án dùng lại từ ngữ trong bài mà sai nghĩa → Trùng từ không có nghĩa là đúng ý","Chùm 5–6 câu / 1 bài đọc: 7 phút. Quét bài 60 giây, mỗi câu 60–70 giây.",Nắm chắc lý thuyết | Đọc vị được dạng bài | Có quy trình giải chuẩn | Xử lý được câu phân loại | Trộn dạng vẫn nhận ra | Qua phiếu thi của cấp | Không còn câu quá hạn trong sổ tay | Độ thành thạo từ 80%
