Chuyên đề,Câu hỏi lớn của chuyên đề,Mã dạng,Dạng bài,Đọc vị — dấu hiệu trên đề,Phương pháp,Bước giải (việc → mục đích),Mẹo xử lý,Sai lầm đặc trưng
Hình học phẳng & không gian,"Hình này có quan hệ gì với hình kia — bằng nhau, đồng dạng, hay chỉ chung một đại lượng?",geo.solid,Thể tích và diện tích khối,"Đề nói về khối chóp, lăng trụ, nón, trụ, cầu | Hỏi thể tích, diện tích xung quanh, hoặc tỉ số thể tích","Xác định rõ đâu là đáy và đâu là chiều cao trước khi thay công thức. Với khối chóp, chiều cao là khoảng cách từ đỉnh tới MẶT PHẲNG đáy, không phải độ dài cạnh bên.","1. Vẽ lại hình và đánh dấu đáy, chiều cao. → Phần lớn lỗi của dạng này là lấy nhầm cạnh bên làm chiều cao. | 2. Tính diện tích đáy bằng công thức hình phẳng phù hợp. → Bài không gian luôn quy về một bài hình phẳng ở đáy. | 3. Tìm chiều cao, thường qua tam giác vuông chứa nó. → Chiều cao hiếm khi được cho trực tiếp; nó nằm trong một tam giác vuông cần Pytago. | 4. Thay vào công thức, chú ý hệ số 1/3 của khối chóp và khối nón. → Quên 1/3 là lỗi cho ra đáp án gấp ba — và phương án gấp ba luôn có sẵn.",Tỉ số thể tích hai khối chóp chung đỉnh và đáy nằm trên cùng một mặt phẳng bằng đúng tỉ số diện tích hai đáy. Dùng được để bỏ hẳn bước tính chiều cao.,Nhầm đường sinh của hình nón với chiều cao. Chúng liên hệ bởi l² = h² + r².
Hình học phẳng & không gian,"Hình này có quan hệ gì với hình kia — bằng nhau, đồng dạng, hay chỉ chung một đại lượng?",geo.circle,Đường tròn — góc và tiếp tuyến,"Có đường tròn, dây cung, tiếp tuyến, hoặc tứ giác nội tiếp | Đề hỏi số đo góc, hoặc hỏi chứng minh một tứ giác nội tiếp được","Quy mọi góc về cung bị chắn. Góc ở tâm bằng số đo cung; góc nội tiếp bằng nửa cung; góc tạo bởi tiếp tuyến và dây cũng bằng nửa cung. Một khi đã quy về cung thì mọi góc so sánh được với nhau.","1. Đánh dấu tất cả các cung bị chắn trên hình. → Cung là đơn vị chung để so mọi loại góc. | 2. Phân loại từng góc: ở tâm, nội tiếp, hay tạo bởi tiếp tuyến và dây. → Mỗi loại có hệ số riêng với cung. | 3. Dùng tổng các cung bằng 360° để lập phương trình. → Đây thường là phương trình duy nhất cần thiết. | 4. Nếu có tứ giác nội tiếp: dùng ngay tổng hai góc đối bằng 180°. → Rút ngắn được rất nhiều so với đi qua cung.","Thấy tứ giác nội tiếp là nghĩ ngay ""hai góc đối bù nhau"". Thấy tiếp tuyến là nghĩ ngay ""vuông góc với bán kính tại tiếp điểm"". Hai phản xạ này giải được phần lớn câu về đường tròn.",Áp dụng góc nội tiếp cho góc có đỉnh không nằm trên đường tròn.
Hình học tọa độ,Điều kiện hình học này viết thành phương trình đại số nào?,coo.line,Viết phương trình đường thẳng,"Đề cho một điểm và một điều kiện về phương (song song, vuông góc, hệ số góc) | Hoặc cho hai điểm mà đường thẳng đi qua | Câu hỏi bắt đầu bằng ""Viết phương trình đường thẳng…""","Mọi đường thẳng chỉ cần hai thứ: một điểm nó đi qua và một vectơ chỉ phương (hoặc pháp tuyến). Đọc đề để nhặt đúng hai thứ đó rồi thay vào dạng chuẩn. Lý do phải nghĩ theo cặp ""điểm + phương"": nó biến mọi biến thể của đề về cùng một quy trình.","1. Nhặt điểm đi qua từ đề. → Không có điểm thì có vô số đường cùng phương. | 2. Nhặt phương: song song thì lấy cùng vectơ chỉ phương; vuông góc thì đổi vai trò và đổi dấu một thành phần. → Từ (a; b) sang vectơ vuông góc là (−b; a) — một phép biến đổi máy móc, không cần suy nghĩ. | 3. Thay vào phương trình tổng quát a(x − x₀) + b(y − y₀) = 0. → Dạng này dùng được cho cả đường thẳng đứng, khác với dạng y = kx + m. | 4. Rút gọn và kiểm tra bằng cách thay lại tọa độ điểm đã cho. → Phép thử 5 giây bắt được mọi lỗi dấu.","Đường thẳng qua hai điểm A, B: lấy vectơ AB làm chỉ phương. Đường thẳng vuông góc với ax + by + c = 0 có vectơ chỉ phương (a; b) — chính là pháp tuyến của đường ban đầu.",Dùng y = kx + m cho đường thẳng đứng x = 3. Dạng này không biểu diễn được đường thẳng đứng.
Hình học tọa độ,Điều kiện hình học này viết thành phương trình đại số nào?,coo.circle,Đường tròn và vị trí tương đối,"Phương trình có x² + y² với hệ số bằng nhau | Đề hỏi tâm, bán kính, hoặc đường thẳng cắt/tiếp xúc/không cắt đường tròn",Đưa về dạng chuẩn (x − a)² + (y − b)² = R² bằng cách hoàn thành bình phương. Mọi câu hỏi về vị trí tương đối đều quy về so sánh khoảng cách từ tâm tới đường thẳng với bán kính.,"1. Hoàn thành bình phương để tìm tâm I(a; b) và R. → Không có tâm và bán kính thì không so sánh được gì. | 2. Kiểm tra R² > 0. → Phương trình dạng đường tròn vẫn có thể vô nghiệm hoặc chỉ là một điểm — đề rất hay hỏi chỗ này. | 3. Tính d(I, Δ) bằng công thức khoảng cách từ điểm tới đường thẳng. → Đây là đại lượng duy nhất cần để kết luận. | 4. So sánh: d < R cắt tại hai điểm, d = R tiếp xúc, d > R không cắt. → Ba trường hợp bao trọn mọi khả năng.","Từ x² + y² − 2ax − 2by + c = 0, tâm là (a; b) — lấy nửa hệ số bậc nhất và ĐỔI DẤU — còn R = √(a² + b² − c). Nhớ dạng này thì không cần hoàn thành bình phương.",Quên đổi dấu khi đọc tâm từ dạng khai triển.
Hình học tọa độ,Điều kiện hình học này viết thành phương trình đại số nào?,coo.space,Hình học tọa độ trong không gian,"Có tọa độ ba thành phần (x; y; z) | Đề nói về mặt phẳng, đường thẳng trong không gian, hoặc mặt cầu","Tích có hướng là công cụ trung tâm: nó cho ngay một vectơ vuông góc với hai vectơ đã có. Phần lớn bài mặt phẳng đều là ""tìm pháp tuyến rồi thay vào"".","1. Chuyển mọi dữ kiện thành vectơ. → Hình học không gian bằng tọa độ là đại số vectơ, không phải hình học trực quan. | 2. Tìm pháp tuyến: nếu có hai vectơ nằm trong mặt phẳng thì lấy tích có hướng của chúng. → Tích có hướng luôn vuông góc với cả hai — đúng định nghĩa pháp tuyến. | 3. Viết phương trình mặt phẳng qua một điểm với pháp tuyến vừa tìm. → Điểm cộng pháp tuyến xác định duy nhất một mặt phẳng. | 4. Kiểm tra bằng cách thay tọa độ các điểm đã cho. → Mọi điểm thuộc mặt phẳng phải thỏa mãn phương trình.",Khoảng cách từ điểm tới mặt phẳng: |ax₀+by₀+cz₀+d| / √(a²+b²+c²). Đây là công thức được dùng nhiều nhất trong toàn bộ hình tọa độ không gian — thuộc lòng nó tiết kiệm rất nhiều thời gian.,"Quên chuẩn hóa mẫu số khi tính khoảng cách, hoặc quên dấu giá trị tuyệt đối ở tử."
"Đạo hàm, tích phân & khảo sát hàm số","Hàm số này tăng hay giảm ở đâu, và giá trị lớn nhất nhỏ nhất của nó nằm chỗ nào?",cal.mono,Xét tính đơn điệu và cực trị,"Đề hỏi khoảng đồng biến, nghịch biến, hoặc số điểm cực trị | Cho hàm số hoặc cho bảng biến thiên | Có tham số m và hỏi ""để hàm số đồng biến trên…""","Dấu của đạo hàm quyết định tất cả: y′ > 0 thì hàm tăng, y′ < 0 thì hàm giảm, và điểm cực trị là nơi y′ ĐỔI DẤU. Nhấn mạnh ""đổi dấu"": y′ = 0 chưa đủ để có cực trị.","1. Tính y′ và tìm tập xác định. → Tập xác định giới hạn phạm vi xét; bỏ qua nó cho ra khoảng đơn điệu sai. | 2. Giải y′ = 0 và tìm các điểm y′ không xác định. → Cả hai loại điểm này đều chia trục số thành các khoảng. | 3. Lập bảng xét dấu y′. → Bảng là cách duy nhất thấy được y′ có đổi dấu hay không. | 4. Đọc kết luận từ bảng, chú ý cực trị chỉ có tại nơi y′ đổi dấu. → y = x³ có y′(0) = 0 nhưng không có cực trị — đây là câu hỏi kinh điển.",Hàm bậc ba y = ax³ + bx² + cx + d có hai cực trị ⟺ y′ = 0 có hai nghiệm phân biệt ⟺ Δ_{y′} > 0. Không có cực trị ⟺ Δ_{y′} ≤ 0. Hai kết luận này trả lời trực tiếp rất nhiều câu về tham số.,"Kết luận có cực trị chỉ vì y′ = 0 có nghiệm, mà không kiểm tra y′ có đổi dấu qua nghiệm đó không."
"Đạo hàm, tích phân & khảo sát hàm số","Hàm số này tăng hay giảm ở đâu, và giá trị lớn nhất nhỏ nhất của nó nằm chỗ nào?",cal.extreme,Giá trị lớn nhất — nhỏ nhất trên đoạn,"Đề nói rõ ""trên đoạn [a; b]"" | Hỏi max, min, hoặc bài toán tối ưu thực tế (làm hộp, rào vườn, chi phí)","Trên một đoạn kín, giá trị lớn nhất và nhỏ nhất chỉ có thể nằm ở điểm tới hạn hoặc ở hai đầu mút. Vì vậy chỉ cần so sánh một danh sách hữu hạn giá trị — không cần vẽ đồ thị.","1. Tính y′ và giải y′ = 0, GIỮ LẠI chỉ các nghiệm thuộc [a; b]. → Nghiệm nằm ngoài đoạn không liên quan; giữ lại chúng là nguồn sai phổ biến. | 2. Tính giá trị hàm tại các nghiệm đó và tại a, b. → Đây là toàn bộ tập ứng viên. | 3. So sánh danh sách, chọn số lớn nhất và nhỏ nhất. → Không cần bảng biến thiên khi đoạn đã đóng. | 4. Với bài thực tế: kiểm tra nghiệm có nghĩa vật lý (độ dài dương, số lượng nguyên). → Nghiệm toán học đẹp vẫn có thể vô nghĩa trong bối cảnh đề.","Với bài tối ưu thực tế, hãy lập hàm theo MỘT biến trước khi đạo hàm; điều kiện ràng buộc luôn cho phép khử bớt một biến. Bỏ qua bước này là phải xử lý hai biến và bế tắc.",Quên tính giá trị tại hai đầu mút. Cực trị địa phương không nhất thiết là max/min trên đoạn.
"Đạo hàm, tích phân & khảo sát hàm số","Hàm số này tăng hay giảm ở đâu, và giá trị lớn nhất nhỏ nhất của nó nằm chỗ nào?",cal.integral,Tích phân và ứng dụng diện tích,Có ký hiệu tích phân kèm cận trên và cận dưới | Hỏi diện tích hình phẳng giới hạn bởi các đường | Hỏi thể tích khối tròn xoay,"Diện tích là tích phân của |hàm trên − hàm dưới|. Chữ ""trên − dưới"" quan trọng hơn công thức: phải xác định đường nào nằm trên trước khi lấy tích phân, nếu không sẽ ra diện tích âm.","1. Tìm cận bằng cách giải phương trình hoành độ giao điểm. → Cận chính là nơi hai đường gặp nhau. | 2. Xác định trên mỗi khoảng, đường nào nằm trên. → Nếu hai đường đổi vị trí giữa chừng thì phải tách thành nhiều tích phân. | 3. Lấy tích phân hiệu (trên − dưới) trên từng khoảng. → Đảm bảo mọi phần đều dương. | 4. Cộng lại và kiểm tra kết quả dương. → Diện tích âm là dấu hiệu đã đảo thứ tự trên/dưới.","Thay vì xét dấu, có thể lấy ∫|f − g|dx bằng cách tính từng đoạn rồi lấy trị tuyệt đối từng phần. Nhưng đừng lấy trị tuyệt đối của TỔNG — các phần dương và âm sẽ triệt tiêu nhau.","Lấy tích phân một mạch qua điểm giao khiến hai phần diện tích trừ nhau, cho kết quả nhỏ hơn thực tế."
Mũ & logarit,"Ẩn số đang nằm trên số mũ hay dưới dấu log, và làm sao kéo nó xuống?",exp.samebase,Đưa về cùng cơ số,"Hai vế đều là lũy thừa, và các cơ số là lũy thừa của cùng một số (2 và 4 và 8; 3 và 9 và 27) | Phương trình mũ đơn giản, không có tổng của hai lũy thừa","Viết mọi cơ số về cùng một cơ số gốc rồi đồng nhất số mũ. Lý do làm được: hàm mũ đơn điệu, nên aᵘ = aᵛ ⟺ u = v với a > 0, a ≠ 1 — một tương đương chứ không phải suy ra một chiều.","1. Phân tích mọi cơ số thành lũy thừa của một số nguyên tố. → 4 = 2², 8 = 2³ — sau bước này hai vế cùng cơ số. | 2. Dùng (aᵐ)ⁿ = aᵐⁿ để gom số mũ. → Đưa mỗi vế về đúng một lũy thừa. | 3. Cho hai số mũ bằng nhau. → Hàm mũ đơn ánh nên bước này là tương đương, không sinh nghiệm lạ. | 4. Giải phương trình còn lại theo x. → Thường chỉ còn bậc nhất hoặc bậc hai.","Nếu cơ số không cùng gốc (ví dụ 2 và 3), thử chia hai vế cho một lũy thừa để tạo ra (2/3)ˣ — đưa về một ẩn duy nhất.","Áp dụng aᵘ = aᵛ ⟹ u = v khi a = 1. Với a = 1 thì mọi số mũ đều cho kết quả 1, phương trình có vô số nghiệm."
Mũ & logarit,"Ẩn số đang nằm trên số mũ hay dưới dấu log, và làm sao kéo nó xuống?",exp.substitute,Đặt ẩn phụ,"Xuất hiện aˣ và a²ˣ (hoặc a²ˣ viết dưới dạng (aˣ)²) | Có 4ˣ và 2ˣ cùng lúc, hoặc 9ˣ và 3ˣ | Với logarit: có log²x và log x",Đặt t = aˣ (hoặc t = log x) để đưa phương trình về bậc hai theo t. Điều kiện t > 0 với ẩn phụ mũ là bắt buộc và là chỗ đề cài bẫy nhiều nhất.,"1. Nhận ra a²ˣ = (aˣ)² rồi đặt t = aˣ, kèm điều kiện t > 0. → Hàm mũ luôn dương — điều kiện này loại nghiệm âm ở bước cuối. | 2. Viết lại phương trình theo t. → Thường thành bậc hai quen thuộc. | 3. Giải, LOẠI nghiệm t ≤ 0. → Nghiệm âm của t không cho ra x nào cả; giữ lại là thừa nghiệm. | 4. Quay về x bằng cách giải aˣ = t. → Đề hỏi x chứ không hỏi t; dừng ở ẩn phụ là bỏ dở nửa bài và mất trọn điểm.","Với dạng có 6ˣ = 2ˣ·3ˣ, chia cả hai vế cho 4ˣ hoặc 9ˣ để tạo ra một ẩn phụ duy nhất (3/2)ˣ. Đây là mẹo mở khóa cả một nhóm câu khó.","Quên điều kiện t > 0 và nhận cả nghiệm âm, rồi báo hai nghiệm x trong khi thực tế chỉ có một."
Mũ & logarit,"Ẩn số đang nằm trên số mũ hay dưới dấu log, và làm sao kéo nó xuống?",exp.log,Phương trình và bất phương trình logarit,Có ký hiệu log hoặc ln chứa biến | Đề hỏi tập nghiệm hoặc số nghiệm nguyên,"Điều kiện xác định TRƯỚC, biến đổi SAU. Với bất phương trình logarit, chiều bất đẳng thức phụ thuộc cơ số: cơ số > 1 giữ nguyên chiều, cơ số trong (0; 1) ĐẢO chiều. Đây là quy tắc bị quên nhiều nhất trong toàn chuyên đề.","1. Đặt điều kiện: mọi biểu thức dưới log phải dương, cơ số dương và khác 1. → Tập xác định thu hẹp trước sẽ tự loại nghiệm ngoại lai. | 2. Gộp các log cùng cơ số bằng công thức tổng/hiệu. → Đưa về dạng log A = log B hoặc log A = số. | 3. Bỏ log, nhớ đảo chiều nếu cơ số nhỏ hơn 1 và đang xử lý bất phương trình. → Hàm log cơ số nhỏ hơn 1 là hàm nghịch biến. | 4. Giao nghiệm với điều kiện xác định. → Bước bắt buộc; bỏ qua là nguồn sai của gần như mọi câu logarit.","Đề hỏi ""số nghiệm nguyên"" thì sau khi ra khoảng nghiệm, đếm số nguyên trong khoảng đó — đừng liệt kê. Số nguyên trong (a; b) là ⌊b⌋ − ⌈a⌉ + 1 nếu hai đầu không nguyên.",Giữ nguyên chiều bất đẳng thức khi cơ số nằm giữa 0 và 1.
Tổ hợp & xác suất,"Thứ tự có quan trọng không, và các phần tử có được lặp lại không?",com.choose,Phân biệt chỉnh hợp và tổ hợp,"Đề hỏi ""có bao nhiêu cách"" | Có từ ""chọn ra"", ""lập thành"", ""xếp"" | Cho một tập hợp và một số lượng cần lấy","Hỏi đúng một câu: đổi chỗ hai phần tử đã chọn thì có ra kết quả khác không? Có → chỉnh hợp (thứ tự quan trọng). Không → tổ hợp. Đây là toàn bộ chuyên đề gói trong một câu hỏi, và trả lời sai câu này thì mọi tính toán sau đều vô nghĩa.","1. Đọc đề và tự hỏi: hoán đổi hai phần tử có tạo ra phương án khác không? → Đây là ranh giới duy nhất giữa hai công thức. | 2. Xác định có lặp hay không: một phần tử được chọn nhiều lần chứ? → Có lặp thì dùng quy tắc nhân, không dùng C hay A. | 3. Chọn công thức: Cₙᵏ nếu không thứ tự, Aₙᵏ nếu có thứ tự, nᵏ nếu có lặp và có thứ tự. → Ba trường hợp bao trọn phần lớn đề. | 4. Nếu đề có điều kiện ràng buộc: xử lý ràng buộc TRƯỚC rồi mới đếm phần còn lại. → Đếm trước rồi trừ dễ sót trường hợp hơn nhiều.","""Chọn ban cán sự gồm lớp trưởng và lớp phó"" là có thứ tự (hai vai trò khác nhau). ""Chọn 2 bạn đi thi"" là không thứ tự. Câu chữ của đề luôn tiết lộ điều này — hãy tìm xem các vị trí có phân biệt không.",Dùng tổ hợp cho bài xếp chỗ ngồi. Xếp chỗ luôn có thứ tự.
Tổ hợp & xác suất,"Thứ tự có quan trọng không, và các phần tử có được lặp lại không?",com.complement,Đếm phần bù,"Đề có từ ""ít nhất một"", ""không quá"", ""có ít nhất hai"" | Đếm trực tiếp phải chia rất nhiều trường hợp","Đếm cái ngược lại rồi lấy tổng trừ đi. Lý do: ""ít nhất một"" phải chia thành đúng một, đúng hai, đúng ba… trong khi phần bù của nó — ""không có cái nào"" — chỉ là một trường hợp duy nhất.","1. Nhận ra từ khóa ""ít nhất"". → Đây là tín hiệu gần như chắc chắn cho phần bù. | 2. Tính tổng số cách không ràng buộc. → Đây là mẫu số hoặc tổng thể để trừ. | 3. Tính số cách của biến cố đối (thường là ""không có cái nào""). → Chỉ một trường hợp, tính rất nhanh. | 4. Lấy tổng trừ đi số cách của biến cố đối. → Hiệu chính là số cách thỏa điều kiện ""ít nhất một"" mà không phải chia trường hợp.","""Ít nhất một"" gần như luôn nên dùng phần bù. Nếu bạn thấy mình đang chia hơn ba trường hợp, hãy dừng lại và thử phần bù.","Tính phần bù của ""ít nhất hai"" thành ""không có cái nào"" — thực ra phần bù là ""không có cái nào HOẶC đúng một cái""."
Tổ hợp & xác suất,"Thứ tự có quan trọng không, và các phần tử có được lặp lại không?",com.prob,Xác suất cổ điển,"Đề hỏi xác suất của một biến cố | Không gian mẫu hữu hạn và các kết quả đồng khả năng (rút thẻ, tung xúc xắc, chọn ngẫu nhiên)",Xác suất = số kết quả thuận lợi chia số kết quả có thể. Điều kiện sống còn: hai con số phải đếm theo CÙNG MỘT cách — cùng có thứ tự hoặc cùng không thứ tự. Trộn lẫn hai cách đếm là lỗi nghiêm trọng và rất khó phát hiện vì kết quả vẫn ra một số đẹp.,"1. Mô tả rõ không gian mẫu và đếm nó. → Đây là mẫu số; sai mẫu số thì mọi thứ sai. | 2. Đếm số kết quả thuận lợi theo ĐÚNG cách đã dùng cho mẫu số. → Nhất quán là điều kiện để phép chia có nghĩa. | 3. Rút gọn phân số. → Đáp án trắc nghiệm thường ở dạng tối giản. | 4. Kiểm tra kết quả nằm trong [0; 1]. → Một phép kiểm tra 2 giây bắt được lỗi đảo tử mẫu.","Với các biến cố độc lập, xác suất của ""cả hai cùng xảy ra"" là tích. Với biến cố xung khắc, xác suất ""một trong hai"" là tổng. Xác định đúng hai từ ""độc lập"" và ""xung khắc"" là xong nửa bài.",Đếm tử số có thứ tự trong khi mẫu số không thứ tự (hoặc ngược lại).
Thống kê & xử lý số liệu,"Bảng số liệu này nói gì mà mắt thường không thấy, và nó KHÔNG nói gì?",sta.center,Số đo xu thế trung tâm,"Đề cho một dãy số liệu hoặc bảng tần số | Hỏi trung bình, trung vị, mốt","Ba số đo trả lời ba câu hỏi khác nhau: trung bình là ""chia đều thì mỗi phần bao nhiêu"", trung vị là ""giá trị đứng giữa"", mốt là ""giá trị xuất hiện nhiều nhất"". Đề thường hỏi cái nào PHÙ HỢP hơn, và câu trả lời phụ thuộc vào việc dữ liệu có giá trị bất thường hay không.","1. Sắp xếp dữ liệu tăng dần. → Bắt buộc cho trung vị; và cũng để lộ ra giá trị bất thường. | 2. Trung bình = tổng chia số phần tử; với bảng tần số thì nhân giá trị với tần số trước. → Quên nhân tần số là lỗi số một khi đọc bảng. | 3. Trung vị: phần tử giữa nếu n lẻ, trung bình hai phần tử giữa nếu n chẵn. → Hai công thức khác nhau, đề hay cho n chẵn để bắt lỗi. | 4. So sánh trung bình với trung vị để nhận diện độ lệch. → Trung bình lớn hơn hẳn trung vị nghĩa là có vài giá trị rất lớn kéo lên.","Khi dữ liệu có một giá trị cực đoan (thu nhập của một người rất giàu trong nhóm), TRUNG VỊ mới là số đo đại diện đúng. Câu hỏi ""nên dùng số đo nào"" gần như luôn có đáp án là trung vị khi đề cố tình cài một giá trị lạc loài.",Tính trung vị mà quên sắp xếp dữ liệu trước.
Thống kê & xử lý số liệu,"Bảng số liệu này nói gì mà mắt thường không thấy, và nó KHÔNG nói gì?",sta.spread,Độ phân tán,"Đề hỏi phương sai, độ lệch chuẩn, khoảng biến thiên | So sánh hai nhóm có cùng trung bình","Trung bình cho biết nhóm nằm ở đâu; độ phân tán cho biết nhóm có đồng đều hay không. Hai nhóm cùng trung bình vẫn có thể khác nhau hoàn toàn — và đề thi thích khai thác đúng điểm này.",1. Tính trung bình trước. → Mọi số đo phân tán đều đo khoảng cách tới trung bình. | 2. Tính phương sai: trung bình của bình phương các độ lệch. → Bình phương để độ lệch âm và dương không triệt tiêu nhau. | 3. Độ lệch chuẩn là căn bậc hai của phương sai. → Đưa về cùng đơn vị với dữ liệu gốc để so sánh được. | 4. Kết luận: độ lệch chuẩn nhỏ hơn nghĩa là đồng đều hơn. → Đây là câu hỏi thực chất của mọi bài so sánh hai nhóm.,"Nếu chỉ cần SO SÁNH hai nhóm chứ không cần con số chính xác, hãy nhìn khoảng biến thiên (max − min) trước. Rất nhiều câu trắc nghiệm giải xong trong 10 giây bằng cách này.","Kết luận nhóm có trung bình cao hơn là ""tốt hơn"" mà không nhìn độ phân tán."
Thống kê & xử lý số liệu,"Bảng số liệu này nói gì mà mắt thường không thấy, và nó KHÔNG nói gì?",sta.read,Đọc biểu đồ và bảng,"Đề đính kèm biểu đồ cột, tròn, đường, hoặc bảng nhiều dòng | Câu hỏi bắt đầu bằng ""Theo biểu đồ trên…""","Đọc nhãn trục và đơn vị TRƯỚC khi nhìn hình dạng. Phần lớn bẫy của dạng này nằm ở đơn vị (nghìn hay triệu), ở trục tung không bắt đầu từ 0, hoặc ở việc nhầm tỉ trọng với giá trị tuyệt đối.","1. Đọc tiêu đề, nhãn hai trục và đơn vị. → Ba thứ này quyết định mọi con số bạn sẽ đọc ra. | 2. Kiểm tra trục tung có bắt đầu từ 0 không. → Trục cắt cụt làm chênh lệch nhỏ trông như chênh lệch lớn. | 3. Xác định câu hỏi đang hỏi giá trị tuyệt đối hay tỉ trọng. → Tỉ trọng giảm mà giá trị vẫn tăng là chuyện hoàn toàn bình thường. | 4. Đọc số liệu cần thiết, tính toán, đối chiếu với thứ tự độ lớn trên hình. → Kết quả phải khớp với cảm nhận thị giác; lệch hẳn là dấu hiệu đọc nhầm dòng.","Với biểu đồ tròn, 1% ứng với 3,6°. Với câu hỏi ""phần nào lớn hơn một phần tư"", chỉ cần so với góc vuông — không cần tính.","Kết luận ""ngành A suy giảm"" khi thấy tỉ trọng của nó giảm, trong khi giá trị tuyệt đối vẫn tăng."
Đọc hiểu văn bản,"Văn bản này nói gì, nói bằng cách nào, và chỗ nào là ý của tác giả chứ không phải ý của tôi?",rea.main,"Xác định ý chính, chủ đề","Câu hỏi có cụm ""ý chính"", ""chủ đề"", ""nội dung bao trùm"", ""nhan đề phù hợp nhất"" | Bốn phương án đều đúng với một phần văn bản","Ý chính phải phủ TOÀN BỘ văn bản, không chỉ một đoạn. Kỹ thuật: tóm mỗi đoạn thành một cụm từ, rồi tìm phương án chứa được tất cả các cụm ấy. Lý do phương án nhiễu khó loại: chúng đều đúng — nhưng đúng với một đoạn, không đúng với cả bài.","1. Đọc lướt, ghi bên lề mỗi đoạn một cụm 3–5 chữ. → Bộ khung này cho thấy mạch bài mà đọc kỹ từng câu không thấy được. | 2. Xác định đoạn nào là luận điểm, đoạn nào là dẫn chứng. → Ý chính nằm ở luận điểm; chọn nhầm dẫn chứng làm ý chính là bẫy phổ biến nhất. | 3. Loại phương án chỉ đúng với một đoạn. → Đúng nhưng hẹp vẫn là sai với câu hỏi này. | 4. Loại phương án rộng hơn văn bản. → Một nhan đề quá khái quát cũng không phải ý chính của bài này.","Câu chủ đề thường nằm ở đầu hoặc cuối đoạn, và ở đoạn đầu hoặc đoạn cuối bài. Với văn nghị luận Việt Nam, câu cuối bài rất hay là câu chốt ý — đọc nó trước khi chọn.",Chọn phương án nhắc lại một chi tiết ấn tượng trong bài. Ấn tượng không đồng nghĩa với bao trùm.
Đọc hiểu văn bản,"Văn bản này nói gì, nói bằng cách nào, và chỗ nào là ý của tác giả chứ không phải ý của tôi?",rea.infer,Suy luận từ văn bản,"Câu hỏi có ""có thể suy ra"", ""tác giả ngụ ý"", ""theo đoạn trích, điều nào sau đây đúng"" | Đáp án không xuất hiện nguyên văn trong bài","Suy luận hợp lệ là suy luận mà văn bản BẢO ĐẢM, không phải suy luận mà văn bản gợi ý. Thử nghiệm: nếu có thể tưởng tượng một tình huống trong đó văn bản vẫn đúng nhưng phương án lại sai, thì phương án đó không hợp lệ.","1. Tìm câu trong văn bản liên quan trực tiếp tới phương án. → Mọi suy luận hợp lệ đều có gốc ở một câu cụ thể. | 2. Hỏi: từ câu đó, phương án này có BẮT BUỘC đúng không? → Phân biệt ""bảo đảm"" với ""có vẻ hợp lý"". | 3. Loại phương án đi quá xa: thêm nguyên nhân, thêm mức độ, thêm phạm vi. → Đây là ba cách phổ biến nhất mà phương án nhiễu vượt quá văn bản. | 4. Chọn phương án gần văn bản nhất mà vẫn trả lời được câu hỏi. → Trong đọc hiểu, phương án dè dặt thường đúng hơn phương án mạnh mẽ.","Cảnh giác với các từ tuyệt đối trong phương án: ""tất cả"", ""duy nhất"", ""không bao giờ"", ""hoàn toàn"". Văn bản nghị luận hiếm khi bảo đảm được những khẳng định mạnh như vậy.","Dùng kiến thức nền của bản thân để chọn. Câu hỏi hỏi văn bản nói gì, không hỏi thực tế thế nào."
Đọc hiểu văn bản,"Văn bản này nói gì, nói bằng cách nào, và chỗ nào là ý của tác giả chứ không phải ý của tôi?",rea.attitude,Thái độ và giọng điệu của tác giả,"Câu hỏi có ""thái độ"", ""giọng điệu"", ""tình cảm của tác giả"" | Phương án là các tính từ: trân trọng, phê phán, hoài nghi, khách quan","Thái độ lộ ra ở TỪ NGỮ ĐÁNH GIÁ chứ không ở nội dung. Tìm các tính từ, trạng từ, và từ tình thái mà tác giả dùng — chúng là dấu vân tay của thái độ.","1. Gạch chân mọi từ mang sắc thái đánh giá trong bài. → Đây là bằng chứng duy nhất về thái độ. | 2. Xem chúng nghiêng về khen, chê, hay trung tính. → Đếm hướng nghiêng cho ra kết luận nhanh. | 3. Chú ý các từ nhượng bộ: ""tuy nhiên"", ""cũng có phần đúng"", ""nhưng"". → Chúng báo hiệu thái độ phức tạp, không phải khen thuần hay chê thuần. | 4. Chọn phương án khớp với sắc thái tổng thể, ưu tiên phương án có mức độ vừa phải. → Tác giả nghị luận hiếm khi cực đoan.","Nếu bài có cả khen và chê, đáp án thường là một thái độ pha: ""trân trọng nhưng vẫn băn khoăn"", ""đồng tình có chừng mực"". Phương án một chiều thường là bẫy.",Nhầm thái độ của tác giả với thái độ của nhân vật hoặc của người được trích dẫn trong bài.
