nhom,thang,chu_de_thang,tuan,thu,gio,nghi_thuc,ma_bai,tieu_de,tru_cot_ghi_trong_bai,tru_cot_chuan,care,co_binh_luan_ghim,cua_chuyen_tang,tep_nguon
G1,02,nang luc,6,Thứ Bảy,08:00,Thực Chiến,,Bài tập: bảng quản trị năng lượng bảy ngày,Thực hành có hướng dẫn,Kỹ năng & hoạt động,CARE-2,Có,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,6,Chủ nhật,21:00,Tổng Kết & Vinh Danh,,Tuần hai — chúng ta đang tỉnh táo nhất lúc mấy giờ?,Cộng đồng,Cộng đồng,CARE-3,Không,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,7,Thứ Hai,05:45,Khởi Nguyên,,Tuần này bạn dám nhìn vào con số nào?,Kết nối & nghi thức,Kết nối & nghi thức,CARE-2,Có,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,7,Thứ Ba,19:45,Giải Mã,,Bốn cái hố của người mới quản lý tiền,Nhận thức & tư duy,Giải mã & cơ chế,CARE-3,Có,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,7,Thứ Tư,05:45,Cho Là Nhận,,Chỉ cho một người cách bạn tiết kiệm được khoản đầu tiên,Thực hành có hướng dẫn,Kết nối & nghi thức,CARE-2,Không,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,7,Thứ Năm,20:00,Hỏi & Đáp Cùng Cố Vấn,,Tiền bạc trong gia đình: những câu khó nói,Kết nối & nghi thức,Cộng đồng,CARE-3,Có,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,7,Thứ Sáu,19:45,Bằng Chứng,,Từ nợ nần đến khoản tiết kiệm đầu tiên,Bằng chứng & câu chuyện,Câu chuyện thật,CARE-3,Không,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,7,Thứ Bảy,08:00,Thực Chiến,,Bài tập: ba con số về tiền của bạn,Thực hành có hướng dẫn,Kỹ năng & hoạt động,CARE-2,Có,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,7,Chủ nhật,21:00,Tổng Kết & Vinh Danh,,Tuần ba — tuần chúng ta dám nhìn,Cộng đồng,Cộng đồng,CARE-3,Không,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,8,Thứ Hai,05:45,Khởi Nguyên,,"Một kỹ năng, hai mươi phút mỗi ngày",Kết nối & nghi thức,Kết nối & nghi thức,CARE-2,Có,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,8,Thứ Ba,19:45,Giải Mã,,Vì sao bạn học nhiều mà đổi thay ít?,Nhận thức & tư duy,Giải mã & cơ chế,CARE-3,Có,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,8,Thứ Tư,05:45,Cho Là Nhận,,Giới thiệu hai người trong nhóm nên quen nhau,Thực hành có hướng dẫn,Kết nối & nghi thức,CARE-2,Không,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,8,Thứ Năm,20:00,Hỏi & Đáp Cùng Cố Vấn,,Học một kỹ năng mới khi đã không còn trẻ,Kết nối & nghi thức,Cộng đồng,CARE-3,Có,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,8,Thứ Sáu,19:45,Bằng Chứng,,Cô giáo về hưu bắt đầu lại từ con số không,Bằng chứng & câu chuyện,Câu chuyện thật,CARE-3,Không,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,8,Thứ Bảy,08:00,Thực Chiến,,Bài tập: cắt một thói quen tốn giờ,Thực hành có hướng dẫn,Kỹ năng & hoạt động,CARE-2,Có,Không,G1-thang-02-nang-luc.md
G1,02,nang luc,8,Chủ nhật,21:00,Tổng Kết & Vinh Danh · Khép Tháng,,Khép tháng Năng lực — hai tháng của nhóm mình,Mời gọi hành động,Cộng đồng,CARE-3,Có,Có,G1-thang-02-nang-luc.md
G1,03,nhan ban,9,Thứ Hai,05:45,Khởi Nguyên,,Tuần này bạn đã giúp ai một việc?,Kết nối & nghi thức,Kết nối & nghi thức,CARE-2,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,9,Thứ Ba,19:45,Giải Mã,,Vì sao người tử tế lại là người kiệt sức trước?,Giải mã & cơ chế,Giải mã & cơ chế,CARE-3,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,9,Thứ Tư,05:45,Cho Là Nhận,,Việc tử tế nhỏ nhất bạn làm được trong hôm nay,Kết nối & nghi thức,Kết nối & nghi thức,CARE-2,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,9,Thứ Năm,20:00,Hỏi & Đáp Cùng Cố Vấn,,Hỏi & Đáp: từ chối thế nào để không mất người,Cộng đồng,Cộng đồng,CARE-4,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,9,Thứ Sáu,19:45,Bằng Chứng,,Người đàn ông giúp cả xóm và không ai giúp lại,Câu chuyện thật,Câu chuyện thật,CARE-5,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,9,Thứ Bảy,08:00,Thực Chiến,,Thực chiến: nhờ một người một việc trong tuần này,Kỹ năng & thực hành,Kỹ năng & hoạt động,CARE-6,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,9,Chủ nhật,21:00,Tổng Kết & Vinh Danh,,Tổng kết tuần 9 — ai đã nhờ được một người,Cộng đồng,Cộng đồng,CARE-7,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,10,Thứ Hai,05:45,Khởi Nguyên,,Bạn đang dẫn dắt ai — dù không có chức danh gì?,Kết nối & nghi thức,Kết nối & nghi thức,CARE-2,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,10,Thứ Ba,19:45,Giải Mã,,Bạn không cần hoàn hảo để dẫn — bạn cần đi trước một bước,Giải mã & cơ chế,Giải mã & cơ chế,CARE-3,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,10,Thứ Tư,05:45,Cho Là Nhận,,"Hôm nay hỏi một người ba câu, đừng khuyên gì",Kết nối & nghi thức,Kết nối & nghi thức,CARE-2,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,10,Thứ Năm,20:00,Hỏi & Đáp Cùng Cố Vấn,,Hỏi & Đáp: khi người mình dẫn không chịu thay đổi,Cộng đồng,Cộng đồng,CARE-4,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,10,Thứ Sáu,19:45,Bằng Chứng,,Chị tổ trưởng không giỏi nhất phòng,Câu chuyện thật,Câu chuyện thật,CARE-5,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,10,Thứ Bảy,08:00,Thực Chiến,,Thực chiến: dạy lại một việc bạn đang tự ôm,Kỹ năng & thực hành,Kỹ năng & hoạt động,CARE-6,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,10,Chủ nhật,21:00,Tổng Kết & Vinh Danh,,Tổng kết tuần 10 — người dẫn là người đi trước một bước,Cộng đồng,Cộng đồng,CARE-7,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,11,Thứ Hai,05:45,Khởi Nguyên,,"Trong đội của bạn, ai là người nói ít nhất?",Kết nối & nghi thức,Kết nối & nghi thức,CARE-2,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,11,Thứ Ba,19:45,Giải Mã,,Tin nhau không phải cảm giác — nó là kết quả của bốn việc lặp lại,Giải mã & cơ chế,Giải mã & cơ chế,CARE-3,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,11,Thứ Tư,05:45,Cho Là Nhận,,Hôm nay giữ đúng một lời hứa nhỏ,Kết nối & nghi thức,Kết nối & nghi thức,CARE-2,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,11,Thứ Năm,20:00,Hỏi & Đáp Cùng Cố Vấn,,Hỏi & Đáp: nói thẳng thế nào để không thành nói nặng,Cộng đồng,Cộng đồng,CARE-4,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,11,Thứ Sáu,19:45,Bằng Chứng,,Cuộc họp gia đình 20 phút mỗi Chủ nhật,Câu chuyện thật,Câu chuyện thật,CARE-5,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,11,Thứ Bảy,08:00,Thực Chiến,,Thực chiến: mở một cuộc họp 20 phút,Kỹ năng & thực hành,Kỹ năng & hoạt động,CARE-6,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,11,Chủ nhật,21:00,Tổng Kết & Vinh Danh,,Tổng kết tuần 11 — tin nhau được dựng từ việc nhỏ,Cộng đồng,Cộng đồng,CARE-7,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,12,Thứ Hai,05:45,Khởi Nguyên,,"Ba tháng qua, ai đã thay đổi vì bạn?",Kết nối & nghi thức,Kết nối & nghi thức,CARE-2,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,12,Thứ Ba,19:45,Giải Mã,,Sống có ảnh hưởng mà không mất mình,Giải mã & cơ chế,Giải mã & cơ chế,CARE-3,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,12,Thứ Tư,05:45,Cho Là Nhận,,"Hôm nay làm một việc chỉ cho mình, 30 phút",Kết nối & nghi thức,Kết nối & nghi thức,CARE-2,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,12,Thứ Năm,20:00,Hỏi & Đáp Cùng Cố Vấn,,Hỏi & Đáp cuối tháng: mọi câu còn lại,Cộng đồng,Cộng đồng,CARE-4,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,12,Thứ Sáu,19:45,Bằng Chứng,,Người phụ nữ dừng lại sau mười lăm năm gánh cả họ,Câu chuyện thật,Câu chuyện thật,CARE-5,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,12,Thứ Bảy,08:00,Thực Chiến,,Thực chiến: đặt xuống một việc,Kỹ năng & thực hành,Kỹ năng & hoạt động,CARE-6,Không,Không,G1-thang-03-nhan-ban.md
G1,03,nhan ban,12,Chủ nhật,21:00,Tổng Kết & Vinh Danh · Khép Tháng,,Khép tháng NHÂN BẢN — và một lời mời,Cộng đồng,Cộng đồng,CARE-8,Có,Có,G1-thang-03-nhan-ban.md
G2,01,ket noi,1,Thứ Hai,11:45,Bài nhẹ,G2-W01-T2-N,"Hai đứa tranh nhau một món đồ chơi, nhà mình xử lý thế nào?",Kỹ năng cha mẹ – vợ chồng,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,1,Thứ Hai,19:45,Nhiệm Vụ Gia Đình Tuần,G2-W01-T2-NHIEMVU,Làm sao để cả nhà rời điện thoại vào buổi tối?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-3,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,1,Thứ Ba,11:45,Bài nhẹ,G2-W01-T3-N,Tối qua nhà mình có mấy người ngồi ăn cơm cùng nhau?,Thi đua & vinh danh,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,1,Thứ Ba,17:30,Bàn Ăn Yêu Thương,G2-W01-T3-BANAN,Làm sao để con chịu kể chuyện ở trường?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,1,Thứ Tư,11:45,Bài nhẹ · mời nhận công cụ,G2-W01-T4-N,Tặng cả nhà bộ 30 câu hỏi bàn ăn,Mời nhận công cụ tầng 1,Cửa tầng 1 (công cụ miễn phí),CARE-1,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,1,Thứ Tư,19:45,Việc Tử Tế Của Gia Đình,G2-W01-T4-TUTE,Việc tử tế nhỏ nhất mà nhà mình làm được hôm nay là gì?,Câu chuyện gia đình,Giải mã & cơ chế,CARE-2,Không,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,1,Thứ Năm,20:00,Cha Mẹ Tỉnh Thức,G2-W01-T5-CHAME,Con không nghe lời — nói gì thay vì quát?,Kỹ năng cha mẹ – vợ chồng,Giải mã & cơ chế,CARE-3,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,1,Thứ Sáu,19:45,Khoe Nhà Mình,G2-W01-T6-KHOENHA,Khoảnh khắc thật của nhà bạn tuần này,Câu chuyện gia đình,Câu chuyện thật,CARE-3,Không,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,1,Thứ Bảy,08:00,Gia Đình Chơi Cùng Nhau,G2-W01-T7-CHOI,Chơi gì với con 15 phút mà không cần đồ chơi?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,1,Chủ nhật,21:00,Bảng Vinh Danh Gia Đình,G2-W01-CN-VINHDANH,Tuần đầu tiên của nhà mình — và những cái tên em muốn gọi,Thi đua & vinh danh,Cộng đồng,CARE-3,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,2,Thứ Hai,11:45,Bài nhẹ,G2-W02-T2-N,Nhà mình thường ăn tối lúc mấy giờ?,Hoạt động gia đình,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,2,Thứ Hai,19:45,Nhiệm Vụ Gia Đình Tuần,G2-W02-T2-NHIEMVU,Làm sao để cả nhà ăn cơm tối cùng nhau ít nhất 4 buổi một tuần?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-3,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,2,Thứ Ba,11:45,Bài nhẹ,G2-W02-T3-N,Món ăn nào mà cả nhà mình đều thích?,Câu chuyện gia đình,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,2,Thứ Ba,17:30,Bàn Ăn Yêu Thương,G2-W02-T3-BANAN,Làm sao dạy con biết ơn mà không phải giảng đạo lý?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,2,Thứ Tư,11:45,Bài nhẹ · mời nhận công cụ,G2-W02-T4-N,Tặng cả nhà 12 trò chơi gắn kết cha mẹ – con cái,Mời nhận công cụ tầng 1,Cửa tầng 1 (công cụ miễn phí),CARE-1,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,2,Thứ Tư,19:45,Việc Tử Tế Của Gia Đình,G2-W02-T4-TUTE,Cả nhà cùng giúp một người hàng xóm — bắt đầu từ đâu?,Câu chuyện gia đình,Giải mã & cơ chế,CARE-2,Không,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,2,Thứ Năm,20:00,Cha Mẹ Tỉnh Thức,G2-W02-T5-CHAME,Con nói dối — xử lý thế nào để lần sau con dám nói thật?,Kỹ năng cha mẹ – vợ chồng,Giải mã & cơ chế,CARE-3,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,2,Thứ Sáu,19:45,Khoe Nhà Mình,G2-W02-T6-KHOENHA,Bức ảnh nào nhà bạn muốn giữ lại để mười năm nữa xem lại?,Câu chuyện gia đình,Câu chuyện thật,CARE-3,Không,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,2,Thứ Bảy,08:00,Gia Đình Chơi Cùng Nhau,G2-W02-T7-CHOI,Cả nhà cùng nấu một món — chia việc thế nào để con làm được thật?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,2,Chủ nhật,21:00,Bảng Vinh Danh Gia Đình,G2-W02-CN-VINHDANH,Tuần thứ hai — những gia đình đã giữ được nhịp,Thi đua & vinh danh,Cộng đồng,CARE-3,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,3,Thứ Hai,11:45,Bài nhẹ,G2-W03-T2-N,Nhà mình có quy tắc nào về điện thoại của con không?,Kỹ năng cha mẹ – vợ chồng,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,3,Thứ Hai,19:45,Nhiệm Vụ Gia Đình Tuần,G2-W03-T2-NHIEMVU,Làm sao để con tự giác làm việc nhà mà không phải nhắc?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-3,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,3,Thứ Ba,11:45,Bài nhẹ,G2-W03-T3-N,Ai rửa bát ở nhà mình?,Hoạt động gia đình,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,3,Thứ Ba,17:30,Bàn Ăn Yêu Thương,G2-W03-T3-BANAN,Làm sao để con dám nói ra chuyện khó ở trường?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,3,Thứ Tư,11:45,Bài nhẹ · mời nhận công cụ,G2-W03-T4-N,Nhật ký Cho là nhận — 21 ngày cho cả nhà,Mời nhận công cụ tầng 1,Cửa tầng 1 (công cụ miễn phí),CARE-1,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,3,Thứ Tư,19:45,Việc Tử Tế Của Gia Đình,G2-W03-T4-TUTE,Dạy con cho đi lần đầu tiên — làm thế nào để con không thấy tiếc?,Câu chuyện gia đình,Giải mã & cơ chế,CARE-2,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,3,Thứ Năm,20:00,Cha Mẹ Tỉnh Thức,G2-W03-T5-CHAME,Con dán mắt vào điện thoại — thương lượng thế nào cho có hiệu lực?,Kỹ năng cha mẹ – vợ chồng,Giải mã & cơ chế,CARE-3,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,3,Thứ Sáu,19:45,Khoe Nhà Mình,G2-W03-T6-KHOENHA,Góc nhỏ nhất trong nhà mà cả nhà mình đều thích,Câu chuyện gia đình,Câu chuyện thật,CARE-3,Không,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,3,Thứ Bảy,08:00,Gia Đình Chơi Cùng Nhau,G2-W03-T7-CHOI,Trò chơi nào rèn được tính kiên nhẫn cho con trong 15 phút?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,3,Chủ nhật,21:00,Bảng Vinh Danh Gia Đình,G2-W03-CN-VINHDANH,Tuần thứ ba — ba gia đình khiến cả nhóm im lặng,Thi đua & vinh danh,Cộng đồng,CARE-3,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,4,Thứ Hai,11:45,Bài nhẹ,G2-W04-T2-N,Nhà mình khen con bằng câu gì?,Kỹ năng cha mẹ – vợ chồng,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,4,Thứ Hai,19:45,Nhiệm Vụ Gia Đình Tuần,G2-W04-T2-NHIEMVU,Làm sao để vợ chồng thống nhất cách dạy con?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-3,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,4,Thứ Ba,11:45,Bài nhẹ,G2-W04-T3-N,Sắp khép tháng đầu tiên — nhà mình đã làm được mấy nhiệm vụ?,Thi đua & vinh danh,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,4,Thứ Ba,17:30,Bàn Ăn Yêu Thương,G2-W04-T3-BANAN,Hỏi thế nào để con nói về ước mơ mà không thấy ngại?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,4,Thứ Tư,11:45,Bài nhẹ · mời nhận công cụ,G2-W04-T4-N,Bộ công cụ gia đình — cả ba bộ đã có đủ,Mời nhận công cụ tầng 1,Cửa tầng 1 (công cụ miễn phí),CARE-1,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,4,Thứ Tư,19:45,Việc Tử Tế Của Gia Đình,G2-W04-T4-TUTE,Gia đình giúp gia đình — nhà mình giúp được ai trong nhóm này?,Câu chuyện gia đình,Giải mã & cơ chế,CARE-2,Không,Không,G2-thang-01-ket-noi.md
